pair,timestep,actual,prediction
CEBRA_valence,0,6,3
CEBRA_valence,1,6,3
CEBRA_valence,2,6,6
CEBRA_valence,3,6,6
CEBRA_valence,4,6,6
CEBRA_valence,5,6,3
CEBRA_valence,6,6,3
CEBRA_valence,7,6,3
CEBRA_valence,8,6,6
CEBRA_valence,9,6,6
CEBRA_valence,10,6,3
CEBRA_valence,11,6,3
CEBRA_valence,12,6,6
CEBRA_valence,13,6,6
CEBRA_valence,14,6,6
CEBRA_valence,15,6,6
CEBRA_valence,16,6,6
CEBRA_valence,17,6,6
CEBRA_valence,18,6,6
CEBRA_valence,19,6,6
CEBRA_valence,20,6,2
CEBRA_valence,21,6,6
CEBRA_valence,22,6,2
CEBRA_valence,23,6,3
CEBRA_valence,24,6,3
CEBRA_valence,25,6,6
CEBRA_valence,26,6,6
CEBRA_valence,27,6,0
CEBRA_valence,28,6,3
CEBRA_valence,29,6,3
CEBRA_valence,30,6,3
CEBRA_valence,31,6,0
CEBRA_valence,32,6,3
CEBRA_valence,33,6,3
CEBRA_valence,34,6,6
CEBRA_valence,35,6,3
CEBRA_valence,36,3,3
CEBRA_valence,37,3,3
CEBRA_valence,38,3,3
CEBRA_valence,39,3,3
CEBRA_valence,40,3,3
CEBRA_valence,41,3,3
CEBRA_valence,42,3,4
CEBRA_valence,43,6,4
CEBRA_valence,44,6,4
CEBRA_valence,45,6,3
CEBRA_valence,46,6,3
CEBRA_valence,47,6,3
CEBRA_valence,48,6,3
CEBRA_valence,49,6,3
CEBRA_valence,50,6,3
CEBRA_valence,51,6,3
CEBRA_valence,52,6,3
CEBRA_valence,53,6,3
CEBRA_valence,54,6,3
CEBRA_valence,55,6,3
CEBRA_valence,56,6,3
CEBRA_valence,57,6,3
CEBRA_valence,58,6,3
CEBRA_valence,59,6,3
CEBRA_valence,60,6,3
CEBRA_valence,61,6,3
CEBRA_valence,62,6,3
CEBRA_valence,63,6,0
CEBRA_valence,64,6,3
CEBRA_valence,65,6,3
CEBRA_valence,66,6,3
CEBRA_valence,67,6,6
CEBRA_valence,68,3,6
CEBRA_valence,69,3,2
CEBRA_valence,70,3,3
CEBRA_valence,71,3,3
CEBRA_valence,72,3,3
CEBRA_valence,73,5,2
CEBRA_valence,74,5,3
CEBRA_valence,75,5,3
CEBRA_valence,76,5,3
CEBRA_valence,77,5,3
CEBRA_valence,78,5,3
CEBRA_valence,79,5,3
CEBRA_valence,80,5,3
CEBRA_valence,81,5,3
CEBRA_valence,82,5,3
CEBRA_valence,83,5,3
CEBRA_valence,84,5,3
CEBRA_valence,85,5,3
CEBRA_valence,86,5,3
CEBRA_valence,87,5,4
CEBRA_valence,88,5,4
CEBRA_valence,89,5,3
CEBRA_valence,90,5,3
CEBRA_valence,91,5,3
CEBRA_valence,92,5,3
CEBRA_valence,93,5,3
CEBRA_valence,94,5,3
CEBRA_valence,95,5,3
CEBRA_valence,96,5,3
CEBRA_valence,97,5,3
CEBRA_valence,98,5,3
CEBRA_valence,99,3,3
CEBRA_valence,100,3,3
CEBRA_valence,101,3,3
CEBRA_valence,102,3,3
CEBRA_valence,103,3,3
CEBRA_valence,104,3,3
CEBRA_valence,105,3,3
CEBRA_valence,106,3,3
CEBRA_valence,107,3,3
CEBRA_valence,108,3,3
CEBRA_valence,109,3,3
CEBRA_valence,110,2,3
CEBRA_valence,111,0,3
CEBRA_valence,112,0,3
CEBRA_valence,113,0,3
CEBRA_valence,114,0,3
CEBRA_valence,115,0,3
CEBRA_valence,116,0,3
CEBRA_valence,117,0,3
CEBRA_valence,118,0,3
CEBRA_valence,119,0,3
CEBRA_valence,120,0,3
CEBRA_valence,121,0,3
CEBRA_valence,122,0,3
CEBRA_valence,123,0,3
CEBRA_valence,124,0,3
CEBRA_valence,125,0,0
CEBRA_valence,126,0,3
CEBRA_valence,127,0,3
CEBRA_valence,128,0,4
CEBRA_valence,129,0,3
CEBRA_valence,130,0,3
CEBRA_valence,131,0,0
CEBRA_valence,132,0,3
CEBRA_valence,133,3,3
CEBRA_valence,134,3,2
CEBRA_valence,135,3,2
CEBRA_valence,136,3,0
CEBRA_valence,137,3,0
CEBRA_valence,138,3,0
CEBRA_valence,139,3,0
CEBRA_valence,140,3,3
CEBRA_valence,141,3,0
CEBRA_valence,142,3,0
CEBRA_valence,143,3,0
CEBRA_valence,144,3,0
CEBRA_valence,145,3,6
CEBRA_valence,146,3,6
CEBRA_valence,147,3,6
CEBRA_valence,148,3,6
CEBRA_valence,149,3,6
CEBRA_valence,150,3,6
CEBRA_valence,151,3,0
CEBRA_valence,152,3,0
CEBRA_valence,153,3,0
CEBRA_valence,154,3,6
CEBRA_valence,155,3,6
CEBRA_valence,156,3,3
CEBRA_valence,157,3,3
CEBRA_valence,158,3,3
CEBRA_valence,159,3,3
CEBRA_valence,160,3,3
CEBRA_valence,161,3,3
CEBRA_valence,162,3,3
CEBRA_valence,163,3,3
CEBRA_valence,164,3,3
CEBRA_valence,165,3,3
CEBRA_valence,166,3,3
CEBRA_valence,167,3,3
CEBRA_valence,168,2,3
CEBRA_valence,169,0,3
CEBRA_valence,170,0,3
CEBRA_valence,171,0,0
CEBRA_valence,172,0,6
CEBRA_valence,173,0,3
CEBRA_valence,174,0,3
CEBRA_valence,175,0,3
CEBRA_valence,176,0,3
CEBRA_valence,177,0,3
CEBRA_valence,178,0,3
