pair,timestep,actual,prediction
CEBRA_categories,0,2,3
CEBRA_categories,1,2,3
CEBRA_categories,2,2,3
CEBRA_categories,3,2,3
CEBRA_categories,4,2,3
CEBRA_categories,5,2,3
CEBRA_categories,6,2,3
CEBRA_categories,7,2,3
CEBRA_categories,8,2,3
CEBRA_categories,9,2,3
CEBRA_categories,10,2,3
CEBRA_categories,11,2,3
CEBRA_categories,12,2,3
CEBRA_categories,13,2,3
CEBRA_categories,14,2,3
CEBRA_categories,15,2,3
CEBRA_categories,16,2,3
CEBRA_categories,17,2,3
CEBRA_categories,18,2,3
CEBRA_categories,19,2,3
CEBRA_categories,20,2,3
CEBRA_categories,21,2,3
CEBRA_categories,22,2,3
CEBRA_categories,23,2,3
CEBRA_categories,24,2,3
CEBRA_categories,25,2,3
CEBRA_categories,26,2,2
CEBRA_categories,27,2,2
CEBRA_categories,28,2,2
CEBRA_categories,29,2,2
CEBRA_categories,30,2,2
CEBRA_categories,31,2,2
CEBRA_categories,32,2,2
CEBRA_categories,33,2,2
CEBRA_categories,34,2,2
CEBRA_categories,35,2,2
CEBRA_categories,36,0,2
CEBRA_categories,37,0,3
CEBRA_categories,38,0,3
CEBRA_categories,39,0,3
CEBRA_categories,40,0,3
CEBRA_categories,41,0,3
CEBRA_categories,42,0,2
CEBRA_categories,43,2,2
CEBRA_categories,44,2,2
CEBRA_categories,45,2,2
CEBRA_categories,46,2,2
CEBRA_categories,47,2,3
CEBRA_categories,48,2,3
CEBRA_categories,49,2,3
CEBRA_categories,50,2,2
CEBRA_categories,51,2,3
CEBRA_categories,52,2,3
CEBRA_categories,53,2,3
CEBRA_categories,54,2,3
CEBRA_categories,55,2,3
CEBRA_categories,56,2,3
CEBRA_categories,57,2,3
CEBRA_categories,58,2,3
CEBRA_categories,59,2,2
CEBRA_categories,60,2,2
CEBRA_categories,61,2,2
CEBRA_categories,62,2,2
CEBRA_categories,63,2,2
CEBRA_categories,64,2,3
CEBRA_categories,65,2,3
CEBRA_categories,66,2,3
CEBRA_categories,67,2,3
CEBRA_categories,68,0,3
CEBRA_categories,69,0,3
CEBRA_categories,70,0,3
CEBRA_categories,71,0,3
CEBRA_categories,72,0,3
CEBRA_categories,73,3,3
CEBRA_categories,74,3,3
CEBRA_categories,75,3,3
CEBRA_categories,76,3,3
CEBRA_categories,77,3,3
CEBRA_categories,78,3,3
CEBRA_categories,79,3,3
CEBRA_categories,80,3,3
CEBRA_categories,81,3,3
CEBRA_categories,82,3,3
CEBRA_categories,83,3,3
CEBRA_categories,84,3,3
CEBRA_categories,85,3,3
CEBRA_categories,86,3,3
CEBRA_categories,87,3,3
CEBRA_categories,88,3,3
CEBRA_categories,89,3,3
CEBRA_categories,90,3,3
CEBRA_categories,91,3,2
CEBRA_categories,92,3,2
CEBRA_categories,93,3,2
CEBRA_categories,94,3,2
CEBRA_categories,95,3,3
CEBRA_categories,96,3,3
CEBRA_categories,97,3,3
CEBRA_categories,98,3,3
CEBRA_categories,99,0,3
CEBRA_categories,100,0,3
CEBRA_categories,101,0,3
CEBRA_categories,102,0,3
CEBRA_categories,103,0,3
CEBRA_categories,104,0,3
CEBRA_categories,105,0,3
CEBRA_categories,106,0,3
CEBRA_categories,107,0,3
CEBRA_categories,108,0,3
CEBRA_categories,109,0,3
CEBRA_categories,110,0,3
CEBRA_categories,111,3,3
CEBRA_categories,112,3,3
CEBRA_categories,113,3,3
CEBRA_categories,114,3,3
CEBRA_categories,115,3,3
CEBRA_categories,116,3,3
CEBRA_categories,117,3,3
CEBRA_categories,118,3,2
CEBRA_categories,119,3,2
CEBRA_categories,120,3,2
CEBRA_categories,121,3,2
CEBRA_categories,122,3,3
CEBRA_categories,123,3,3
CEBRA_categories,124,3,3
CEBRA_categories,125,3,3
CEBRA_categories,126,3,3
CEBRA_categories,127,3,3
CEBRA_categories,128,3,3
CEBRA_categories,129,3,3
CEBRA_categories,130,3,3
CEBRA_categories,131,3,3
CEBRA_categories,132,3,3
CEBRA_categories,133,0,3
CEBRA_categories,134,0,3
CEBRA_categories,135,0,3
CEBRA_categories,136,0,3
CEBRA_categories,137,0,3
CEBRA_categories,138,0,3
CEBRA_categories,139,0,3
CEBRA_categories,140,0,3
CEBRA_categories,141,0,2
CEBRA_categories,142,0,2
CEBRA_categories,143,2,3
CEBRA_categories,144,2,3
CEBRA_categories,145,2,3
CEBRA_categories,146,2,3
CEBRA_categories,147,2,3
CEBRA_categories,148,2,3
CEBRA_categories,149,2,3
CEBRA_categories,150,2,3
CEBRA_categories,151,2,3
CEBRA_categories,152,2,3
CEBRA_categories,153,2,3
CEBRA_categories,154,2,3
CEBRA_categories,155,2,3
CEBRA_categories,156,2,3
CEBRA_categories,157,2,3
CEBRA_categories,158,2,3
CEBRA_categories,159,2,3
CEBRA_categories,160,2,3
CEBRA_categories,161,2,3
CEBRA_categories,162,2,3
CEBRA_categories,163,2,3
CEBRA_categories,164,0,2
CEBRA_categories,165,0,2
CEBRA_categories,166,0,2
CEBRA_categories,167,0,2
CEBRA_categories,168,0,2
CEBRA_categories,169,0,3
CEBRA_categories,170,0,3
CEBRA_categories,171,0,3
CEBRA_categories,172,0,3
CEBRA_categories,173,0,3
CEBRA_categories,174,0,3
CEBRA_categories,175,0,3
CEBRA_categories,176,0,3
CEBRA_categories,177,0,3
CEBRA_categories,178,0,3
CEBRA_categories,179,0,3
CEBRA_categories,180,0,3
CEBRA_categories,181,0,3
CEBRA_categories,182,0,3
CEBRA_categories,183,0,3
CEBRA_categories,184,0,3
CEBRA_categories,185,0,3
CEBRA_categories,186,0,3
CEBRA_categories,187,0,3
CEBRA_categories,188,0,3
CEBRA_categories,189,0,2
CEBRA_categories,190,0,2
CEBRA_categories,191,0,3
CEBRA_categories,192,2,3
CEBRA_categories,193,2,3
CEBRA_categories,194,2,3
CEBRA_categories,195,2,3
CEBRA_categories,196,2,3
CEBRA_categories,197,2,2
CEBRA_categories,198,2,2
CEBRA_categories,199,2,3
CEBRA_categories,200,2,3
CEBRA_categories,201,2,3
CEBRA_categories,202,2,3
CEBRA_categories,203,2,3
CEBRA_categories,204,2,3
CEBRA_categories,205,2,3
CEBRA_categories,206,2,3
CEBRA_categories,207,2,3
CEBRA_categories,208,2,3
CEBRA_categories,209,2,3
CEBRA_categories,210,2,3
CEBRA_categories,211,2,3
CEBRA_categories,212,2,3
CEBRA_categories,213,2,3
CEBRA_categories,214,2,3
CEBRA_categories,215,2,3
CEBRA_categories,216,2,3
CEBRA_categories,217,2,3
CEBRA_categories,218,2,3
CEBRA_categories,219,0,3
CEBRA_categories,220,0,3
CEBRA_categories,221,0,3
CEBRA_categories,222,0,2
CEBRA_categories,223,3,2
CEBRA_categories,224,3,2
CEBRA_categories,225,3,2
CEBRA_categories,226,3,2
CEBRA_categories,227,3,3
CEBRA_categories,228,3,3
CEBRA_categories,229,3,3
CEBRA_categories,230,3,3
CEBRA_categories,231,3,3
CEBRA_categories,232,3,3
CEBRA_categories,233,3,3
CEBRA_categories,234,3,3
CEBRA_categories,235,3,3
CEBRA_categories,236,3,3
CEBRA_categories,237,3,3
CEBRA_categories,238,3,3
CEBRA_categories,239,3,3
CEBRA_categories,240,3,2
CEBRA_categories,241,3,2
CEBRA_categories,242,3,2
CEBRA_categories,243,3,3
CEBRA_categories,244,3,3
CEBRA_categories,245,3,3
CEBRA_categories,246,3,3
CEBRA_categories,247,3,3
CEBRA_categories,248,3,3
CEBRA_categories,249,0,3
CEBRA_categories,250,0,3
CEBRA_categories,251,0,3
CEBRA_categories,252,0,3
CEBRA_categories,253,0,3
CEBRA_categories,254,3,3
CEBRA_categories,255,3,3
CEBRA_categories,256,3,3
CEBRA_categories,257,3,3
CEBRA_categories,258,3,3
CEBRA_categories,259,3,3
CEBRA_categories,260,3,3
CEBRA_categories,261,3,2
CEBRA_categories,262,3,2
CEBRA_categories,263,3,2
CEBRA_categories,264,3,2
CEBRA_categories,265,3,2
CEBRA_categories,266,3,3
CEBRA_categories,267,3,3
CEBRA_categories,268,3,3
CEBRA_categories,269,3,3
CEBRA_categories,270,3,3
CEBRA_categories,271,3,3
CEBRA_categories,272,3,3
CEBRA_categories,273,3,3
CEBRA_categories,274,3,3
CEBRA_categories,275,3,3
CEBRA_categories,276,3,3
CEBRA_categories,277,3,3
CEBRA_categories,278,3,3
CEBRA_categories,279,3,3
CEBRA_categories,280,0,3
CEBRA_categories,281,0,3
CEBRA_categories,282,0,3
CEBRA_categories,283,0,3
CEBRA_categories,284,0,3
CEBRA_categories,285,0,3
CEBRA_categories,286,2,3
CEBRA_categories,287,2,3
CEBRA_categories,288,2,3
CEBRA_categories,289,2,3
CEBRA_categories,290,2,3
CEBRA_categories,291,2,3
CEBRA_categories,292,2,3
CEBRA_categories,293,2,3
CEBRA_categories,294,2,3
CEBRA_categories,295,2,3
CEBRA_categories,296,2,3
CEBRA_categories,297,2,3
CEBRA_categories,298,2,3
CEBRA_categories,299,2,3
CEBRA_categories,300,2,3
CEBRA_categories,301,2,3
CEBRA_categories,302,2,3
CEBRA_categories,303,2,3
CEBRA_categories,304,2,3
CEBRA_categories,305,2,3
CEBRA_categories,306,2,3
CEBRA_categories,307,2,3
CEBRA_categories,308,2,3
CEBRA_categories,309,2,3
CEBRA_categories,310,2,3
CEBRA_categories,311,0,2
CEBRA_categories,312,0,2
CEBRA_categories,313,0,3
CEBRA_categories,314,0,3
CEBRA_categories,315,3,3
CEBRA_categories,316,3,3
CEBRA_categories,317,3,3
CEBRA_categories,318,3,3
CEBRA_categories,319,3,3
CEBRA_categories,320,3,3
CEBRA_categories,321,3,3
CEBRA_categories,322,3,3
CEBRA_categories,323,3,3
CEBRA_categories,324,3,3
CEBRA_categories,325,3,3
CEBRA_categories,326,3,3
CEBRA_categories,327,3,3
CEBRA_categories,328,3,3
CEBRA_categories,329,3,3
CEBRA_categories,330,3,3
CEBRA_categories,331,3,3
CEBRA_categories,332,3,3
CEBRA_categories,333,3,3
CEBRA_categories,334,3,0
CEBRA_categories,335,3,2
CEBRA_categories,336,3,2
CEBRA_categories,337,3,3
CEBRA_categories,338,0,3
CEBRA_categories,339,0,3
CEBRA_categories,340,0,3
CEBRA_categories,341,0,3
CEBRA_categories,342,3,3
CEBRA_categories,343,3,3
CEBRA_categories,344,3,3
CEBRA_categories,345,3,3
CEBRA_categories,346,3,3
CEBRA_categories,347,3,3
CEBRA_categories,348,3,3
CEBRA_categories,349,3,3
CEBRA_categories,350,3,3
CEBRA_categories,351,3,3
CEBRA_categories,352,3,3
CEBRA_categories,353,3,3
CEBRA_categories,354,3,3
CEBRA_categories,355,3,3
CEBRA_categories,356,3,3
CEBRA_categories,357,3,1
CEBRA_categories,358,3,3
CEBRA_categories,359,3,3
CEBRA_categories,360,3,3
CEBRA_categories,361,3,3
CEBRA_categories,362,3,3
CEBRA_categories,363,3,3
CEBRA_categories,364,3,3
CEBRA_categories,365,3,3
CEBRA_categories,366,3,3
CEBRA_categories,367,3,3
CEBRA_categories,368,3,3
CEBRA_categories,369,0,3
CEBRA_categories,370,0,3
CEBRA_categories,371,0,2
CEBRA_categories,372,0,2
CEBRA_categories,373,0,2
CEBRA_categories,374,2,3
CEBRA_categories,375,2,3
CEBRA_categories,376,2,3
CEBRA_categories,377,2,3
CEBRA_categories,378,2,3
CEBRA_categories,379,2,3
CEBRA_categories,380,2,3
CEBRA_categories,381,2,3
CEBRA_categories,382,2,3
CEBRA_categories,383,2,3
CEBRA_categories,384,2,3
CEBRA_categories,385,2,2
CEBRA_categories,386,2,2
CEBRA_categories,387,2,3
CEBRA_categories,388,2,3
CEBRA_categories,389,2,3
CEBRA_categories,390,2,3
CEBRA_categories,391,2,3
CEBRA_categories,392,2,3
CEBRA_categories,393,2,3
CEBRA_categories,394,2,3
CEBRA_categories,395,2,3
CEBRA_categories,396,2,3
CEBRA_categories,397,2,3
CEBRA_categories,398,2,3
CEBRA_categories,399,2,3
CEBRA_categories,400,0,3
CEBRA_categories,401,0,3
CEBRA_categories,402,0,3
CEBRA_categories,403,0,3
CEBRA_categories,404,0,3
CEBRA_categories,405,0,3
CEBRA_categories,406,0,3
CEBRA_categories,407,0,3
CEBRA_categories,408,0,3
CEBRA_categories,409,0,3
CEBRA_categories,410,0,3
CEBRA_categories,411,0,3
CEBRA_categories,412,0,3
CEBRA_categories,413,0,3
CEBRA_categories,414,0,3
CEBRA_categories,415,0,3
CEBRA_categories,416,0,3
CEBRA_categories,417,0,3
CEBRA_categories,418,0,3
CEBRA_categories,419,0,3
CEBRA_categories,420,0,3
CEBRA_categories,421,0,3
CEBRA_categories,422,0,3
CEBRA_categories,423,0,3
CEBRA_categories,424,0,3
