pair,timestep,actual,prediction
CEBRA_arousal,0,3,3
CEBRA_arousal,1,3,3
CEBRA_arousal,2,3,3
CEBRA_arousal,3,3,3
CEBRA_arousal,4,3,3
CEBRA_arousal,5,3,3
CEBRA_arousal,6,3,3
CEBRA_arousal,7,3,3
CEBRA_arousal,8,3,3
CEBRA_arousal,9,3,3
CEBRA_arousal,10,3,3
CEBRA_arousal,11,3,3
CEBRA_arousal,12,3,3
CEBRA_arousal,13,3,3
CEBRA_arousal,14,3,3
CEBRA_arousal,15,3,3
CEBRA_arousal,16,3,3
CEBRA_arousal,17,3,3
CEBRA_arousal,18,3,3
CEBRA_arousal,19,3,3
CEBRA_arousal,20,3,3
CEBRA_arousal,21,3,3
CEBRA_arousal,22,3,3
CEBRA_arousal,23,3,3
CEBRA_arousal,24,3,3
CEBRA_arousal,25,3,3
CEBRA_arousal,26,3,3
CEBRA_arousal,27,3,3
CEBRA_arousal,28,3,3
CEBRA_arousal,29,3,3
CEBRA_arousal,30,3,3
CEBRA_arousal,31,3,3
CEBRA_arousal,32,3,3
CEBRA_arousal,33,3,3
CEBRA_arousal,34,3,3
CEBRA_arousal,35,3,3
CEBRA_arousal,36,3,3
CEBRA_arousal,37,3,3
CEBRA_arousal,38,3,3
CEBRA_arousal,39,3,3
CEBRA_arousal,40,3,3
CEBRA_arousal,41,3,3
CEBRA_arousal,42,3,3
CEBRA_arousal,43,4,3
CEBRA_arousal,44,4,3
CEBRA_arousal,45,4,3
CEBRA_arousal,46,4,3
CEBRA_arousal,47,4,3
CEBRA_arousal,48,4,3
CEBRA_arousal,49,4,3
CEBRA_arousal,50,4,3
CEBRA_arousal,51,4,3
CEBRA_arousal,52,4,3
CEBRA_arousal,53,4,3
CEBRA_arousal,54,4,3
CEBRA_arousal,55,4,3
CEBRA_arousal,56,4,3
CEBRA_arousal,57,4,3
CEBRA_arousal,58,4,3
CEBRA_arousal,59,4,3
CEBRA_arousal,60,4,3
CEBRA_arousal,61,4,3
CEBRA_arousal,62,4,3
CEBRA_arousal,63,4,3
CEBRA_arousal,64,4,3
CEBRA_arousal,65,4,3
CEBRA_arousal,66,4,3
CEBRA_arousal,67,4,3
CEBRA_arousal,68,3,3
CEBRA_arousal,69,3,3
CEBRA_arousal,70,3,3
CEBRA_arousal,71,3,3
CEBRA_arousal,72,3,3
CEBRA_arousal,73,3,3
CEBRA_arousal,74,3,3
CEBRA_arousal,75,3,3
CEBRA_arousal,76,3,3
CEBRA_arousal,77,3,3
CEBRA_arousal,78,3,3
CEBRA_arousal,79,3,3
CEBRA_arousal,80,3,3
CEBRA_arousal,81,3,3
CEBRA_arousal,82,3,3
CEBRA_arousal,83,3,3
CEBRA_arousal,84,3,3
CEBRA_arousal,85,3,3
CEBRA_arousal,86,3,3
