pair,timestep,actual,prediction
CEBRA_categories,0,0,3
CEBRA_categories,1,3,3
CEBRA_categories,2,3,3
CEBRA_categories,3,3,3
CEBRA_categories,4,3,1
CEBRA_categories,5,3,1
CEBRA_categories,6,3,1
CEBRA_categories,7,3,1
CEBRA_categories,8,3,1
CEBRA_categories,9,3,1
CEBRA_categories,10,3,0
CEBRA_categories,11,3,0
CEBRA_categories,12,3,0
CEBRA_categories,13,3,1
CEBRA_categories,14,3,0
CEBRA_categories,15,3,0
CEBRA_categories,16,3,0
CEBRA_categories,17,3,0
CEBRA_categories,18,3,0
CEBRA_categories,19,3,3
CEBRA_categories,20,3,3
CEBRA_categories,21,3,1
CEBRA_categories,22,3,1
CEBRA_categories,23,3,1
CEBRA_categories,24,3,1
CEBRA_categories,25,3,0
CEBRA_categories,26,3,1
CEBRA_categories,27,0,1
CEBRA_categories,28,0,1
CEBRA_categories,29,0,1
CEBRA_categories,30,0,0
CEBRA_categories,31,0,0
CEBRA_categories,32,1,0
CEBRA_categories,33,1,0
CEBRA_categories,34,1,0
CEBRA_categories,35,1,0
CEBRA_categories,36,1,0
CEBRA_categories,37,1,0
CEBRA_categories,38,1,0
CEBRA_categories,39,1,0
CEBRA_categories,40,1,1
CEBRA_categories,41,1,1
CEBRA_categories,42,1,1
CEBRA_categories,43,1,1
CEBRA_categories,44,1,0
CEBRA_categories,45,1,0
CEBRA_categories,46,1,0
CEBRA_categories,47,1,0
CEBRA_categories,48,0,0
CEBRA_categories,49,0,0
CEBRA_categories,50,0,0
CEBRA_categories,51,0,3
CEBRA_categories,52,0,3
CEBRA_categories,53,1,3
CEBRA_categories,54,1,3
CEBRA_categories,55,1,0
CEBRA_categories,56,1,0
CEBRA_categories,57,1,0
CEBRA_categories,58,1,0
CEBRA_categories,59,1,1
CEBRA_categories,60,1,1
CEBRA_categories,61,1,1
CEBRA_categories,62,1,1
CEBRA_categories,63,1,1
CEBRA_categories,64,1,1
CEBRA_categories,65,1,1
CEBRA_categories,66,1,1
CEBRA_categories,67,1,1
CEBRA_categories,68,1,1
CEBRA_categories,69,1,1
CEBRA_categories,70,1,1
CEBRA_categories,71,1,1
CEBRA_categories,72,1,1
CEBRA_categories,73,1,1
CEBRA_categories,74,1,0
CEBRA_categories,75,1,0
CEBRA_categories,76,1,0
CEBRA_categories,77,1,3
CEBRA_categories,78,1,3
CEBRA_categories,79,0,3
CEBRA_categories,80,0,3
CEBRA_categories,81,0,3
CEBRA_categories,82,0,3
CEBRA_categories,83,0,3
CEBRA_categories,84,2,3
CEBRA_categories,85,2,3
CEBRA_categories,86,2,3
CEBRA_categories,87,2,3
CEBRA_categories,88,2,0
CEBRA_categories,89,2,0
CEBRA_categories,90,2,1
CEBRA_categories,91,2,1
CEBRA_categories,92,2,1
CEBRA_categories,93,2,1
CEBRA_categories,94,2,1
CEBRA_categories,95,2,1
CEBRA_categories,96,2,1
CEBRA_categories,97,2,1
CEBRA_categories,98,2,1
CEBRA_categories,99,2,1
CEBRA_categories,100,2,1
CEBRA_categories,101,2,1
CEBRA_categories,102,2,0
CEBRA_categories,103,2,0
CEBRA_categories,104,2,0
CEBRA_categories,105,2,3
CEBRA_categories,106,2,3
CEBRA_categories,107,2,3
CEBRA_categories,108,2,3
CEBRA_categories,109,2,0
CEBRA_categories,110,0,0
CEBRA_categories,111,0,0
CEBRA_categories,112,0,0
CEBRA_categories,113,0,0
CEBRA_categories,114,0,1
CEBRA_categories,115,0,1
CEBRA_categories,116,0,1
CEBRA_categories,117,0,3
CEBRA_categories,118,0,0
CEBRA_categories,119,0,0
CEBRA_categories,120,0,0
CEBRA_categories,121,0,0
CEBRA_categories,122,0,0
CEBRA_categories,123,0,0
CEBRA_categories,124,0,0
CEBRA_categories,125,0,1
CEBRA_categories,126,0,1
CEBRA_categories,127,0,0
CEBRA_categories,128,0,0
CEBRA_categories,129,0,0
CEBRA_categories,130,0,0
CEBRA_categories,131,0,0
CEBRA_categories,132,0,0
CEBRA_categories,133,0,0
CEBRA_categories,134,0,0
CEBRA_categories,135,0,0
CEBRA_categories,136,0,0
CEBRA_categories,137,0,0
CEBRA_categories,138,0,0
CEBRA_categories,139,0,0
CEBRA_categories,140,0,0
CEBRA_categories,141,0,0
CEBRA_categories,142,0,0
CEBRA_categories,143,0,0
CEBRA_categories,144,0,0
CEBRA_categories,145,0,0
CEBRA_categories,146,0,0
CEBRA_categories,147,0,0
CEBRA_categories,148,1,0
CEBRA_categories,149,1,0
CEBRA_categories,150,1,0
CEBRA_categories,151,1,0
CEBRA_categories,152,1,0
CEBRA_categories,153,1,0
CEBRA_categories,154,1,1
CEBRA_categories,155,1,1
CEBRA_categories,156,1,1
CEBRA_categories,157,1,1
CEBRA_categories,158,1,1
CEBRA_categories,159,1,1
CEBRA_categories,160,1,0
CEBRA_categories,161,1,0
CEBRA_categories,162,1,0
CEBRA_categories,163,1,0
CEBRA_categories,164,1,0
CEBRA_categories,165,1,0
CEBRA_categories,166,1,0
CEBRA_categories,167,1,0
CEBRA_categories,168,1,0
CEBRA_categories,169,1,0
CEBRA_categories,170,1,0
CEBRA_categories,171,1,0
CEBRA_categories,172,1,0
CEBRA_categories,173,1,0
CEBRA_categories,174,0,0
CEBRA_categories,175,0,0
CEBRA_categories,176,0,0
CEBRA_categories,177,0,0
CEBRA_categories,178,0,0
CEBRA_categories,179,0,0
CEBRA_categories,180,1,0
CEBRA_categories,181,1,0
CEBRA_categories,182,1,0
CEBRA_categories,183,1,0
CEBRA_categories,184,1,0
CEBRA_categories,185,1,1
CEBRA_categories,186,1,1
CEBRA_categories,187,1,1
CEBRA_categories,188,1,0
CEBRA_categories,189,1,0
CEBRA_categories,190,1,0
CEBRA_categories,191,1,0
CEBRA_categories,192,1,0
CEBRA_categories,193,1,0
CEBRA_categories,194,1,1
CEBRA_categories,195,1,1
CEBRA_categories,196,0,1
CEBRA_categories,197,0,0
CEBRA_categories,198,0,0
CEBRA_categories,199,0,0
CEBRA_categories,200,0,0
CEBRA_categories,201,0,3
CEBRA_categories,202,0,3
CEBRA_categories,203,0,3
CEBRA_categories,204,0,3
CEBRA_categories,205,0,3
CEBRA_categories,206,0,3
CEBRA_categories,207,0,3
CEBRA_categories,208,0,0
CEBRA_categories,209,0,0
CEBRA_categories,210,0,0
CEBRA_categories,211,0,0
CEBRA_categories,212,0,0
CEBRA_categories,213,0,0
CEBRA_categories,214,0,0
CEBRA_categories,215,0,0
CEBRA_categories,216,0,0
CEBRA_categories,217,0,0
CEBRA_categories,218,0,0
CEBRA_categories,219,0,0
CEBRA_categories,220,0,0
CEBRA_categories,221,0,0
CEBRA_categories,222,0,0
CEBRA_categories,223,0,0
CEBRA_categories,224,0,0
CEBRA_categories,225,0,0
CEBRA_categories,226,0,0
CEBRA_categories,227,0,0
CEBRA_categories,228,0,3
CEBRA_categories,229,0,3
CEBRA_categories,230,0,3
CEBRA_categories,231,0,0
CEBRA_categories,232,0,2
CEBRA_categories,233,0,2
CEBRA_categories,234,0,2
CEBRA_categories,235,0,0
CEBRA_categories,236,0,0
CEBRA_categories,237,0,0
CEBRA_categories,238,0,0
CEBRA_categories,239,0,0
CEBRA_categories,240,0,0
CEBRA_categories,241,0,0
CEBRA_categories,242,0,0
CEBRA_categories,243,0,3
CEBRA_categories,244,0,3
CEBRA_categories,245,0,3
CEBRA_categories,246,0,3
CEBRA_categories,247,0,3
CEBRA_categories,248,0,3
