pair,timestep,actual,prediction
DPAD,691,0,1
DPAD,692,0,1
DPAD,693,0,6
DPAD,694,0,6
DPAD,695,0,0
DPAD,696,0,0
DPAD,697,0,0
DPAD,698,0,1
DPAD,699,0,1
DPAD,700,0,1
DPAD,701,0,1
DPAD,702,0,1
DPAD,703,0,1
DPAD,704,0,1
DPAD,705,0,1
DPAD,706,0,1
DPAD,707,0,1
DPAD,708,0,1
DPAD,709,0,1
DPAD,710,0,1
DPAD,711,0,1
DPAD,712,0,1
DPAD,713,0,6
DPAD,714,0,6
DPAD,715,0,0
DPAD,716,0,6
DPAD,717,0,0
DPAD,718,0,1
DPAD,719,0,1
DPAD,720,0,6
DPAD,721,0,6
DPAD,722,0,0
DPAD,723,0,0
DPAD,724,0,0
DPAD,725,0,1
DPAD,726,0,1
DPAD,727,0,0
DPAD,728,0,6
DPAD,729,0,0
DPAD,730,0,0
DPAD,731,0,0
DPAD,732,0,1
DPAD,733,0,1
DPAD,734,0,1
DPAD,735,0,1
DPAD,736,0,1
DPAD,737,0,1
DPAD,738,0,1
DPAD,739,0,1
DPAD,740,0,1
DPAD,741,0,1
DPAD,742,0,1
DPAD,743,0,6
DPAD,744,0,6
DPAD,745,0,0
DPAD,746,0,0
DPAD,747,0,0
DPAD,748,0,1
DPAD,749,0,1
DPAD,750,0,6
DPAD,751,0,6
DPAD,752,0,0
DPAD,753,0,0
DPAD,754,0,0
DPAD,755,0,1
DPAD,756,0,1
DPAD,757,0,1
DPAD,758,0,6
DPAD,759,0,0
DPAD,760,0,1
DPAD,761,0,0
DPAD,762,0,1
DPAD,763,0,1
DPAD,764,0,1
DPAD,765,0,1
DPAD,766,0,1
DPAD,767,0,1
DPAD,768,0,1
DPAD,769,0,1
DPAD,770,0,1
DPAD,771,0,1
DPAD,772,0,0
DPAD,773,0,6
DPAD,774,0,0
DPAD,775,1,0
DPAD,776,1,0
DPAD,777,1,1
DPAD,778,1,1
DPAD,779,1,1
DPAD,780,1,6
DPAD,781,1,1
DPAD,782,1,1
DPAD,783,1,0
DPAD,784,1,1
DPAD,785,1,1
DPAD,786,1,1
DPAD,787,1,1
DPAD,788,1,1
DPAD,789,1,1
DPAD,790,1,1
DPAD,791,1,1
DPAD,792,1,1
DPAD,793,1,1
DPAD,794,1,1
DPAD,795,1,1
DPAD,796,1,1
DPAD,797,1,1
DPAD,798,1,1
DPAD,799,1,1
DPAD,800,1,1
DPAD,801,1,1
DPAD,802,0,6
DPAD,803,0,1
DPAD,804,0,1
DPAD,805,0,0
DPAD,806,0,1
DPAD,807,6,1
DPAD,808,6,1
DPAD,809,6,1
DPAD,810,6,1
DPAD,811,6,1
DPAD,812,6,1
DPAD,813,6,6
DPAD,814,6,1
DPAD,815,6,1
DPAD,816,6,1
DPAD,817,6,1
DPAD,818,6,1
DPAD,819,6,1
DPAD,820,6,6
DPAD,821,6,0
DPAD,822,6,6
DPAD,823,6,0
DPAD,824,6,1
DPAD,825,6,1
DPAD,826,6,6
DPAD,827,6,6
DPAD,828,6,0
DPAD,829,6,0
DPAD,830,6,0
DPAD,831,6,1
DPAD,832,6,1
DPAD,833,0,6
DPAD,834,0,6
DPAD,835,0,0
DPAD,836,0,0
DPAD,837,0,0
DPAD,838,0,6
DPAD,839,0,0
DPAD,840,0,0
DPAD,841,0,0
DPAD,842,0,1
DPAD,843,0,1
DPAD,844,0,6
DPAD,845,0,6
DPAD,846,0,0
DPAD,847,0,0
DPAD,848,0,0
DPAD,849,0,1
DPAD,850,0,1
DPAD,851,0,6
DPAD,852,0,6
DPAD,853,0,0
DPAD,854,0,1
DPAD,855,0,0
DPAD,856,0,1
DPAD,857,0,1
DPAD,858,0,1
DPAD,859,0,1
DPAD,860,0,1
DPAD,861,0,1
DPAD,862,0,1
DPAD,863,0,1
