pair,timestep,actual,prediction
DPAD_categories,0,3,0
DPAD_categories,1,3,0
DPAD_categories,2,3,0
DPAD_categories,3,3,3
DPAD_categories,4,3,0
DPAD_categories,5,3,4
DPAD_categories,6,3,4
DPAD_categories,7,3,4
DPAD_categories,8,3,4
DPAD_categories,9,3,1
DPAD_categories,10,3,4
DPAD_categories,11,3,1
DPAD_categories,12,3,1
DPAD_categories,13,3,1
DPAD_categories,14,3,1
DPAD_categories,15,3,1
DPAD_categories,16,3,1
DPAD_categories,17,3,1
DPAD_categories,18,3,1
DPAD_categories,19,3,1
DPAD_categories,20,3,1
DPAD_categories,21,3,1
DPAD_categories,22,3,1
DPAD_categories,23,3,1
DPAD_categories,24,3,1
DPAD_categories,25,3,1
DPAD_categories,26,3,1
DPAD_categories,27,3,1
DPAD_categories,28,3,1
DPAD_categories,29,3,1
DPAD_categories,30,3,1
DPAD_categories,31,3,1
DPAD_categories,32,3,1
DPAD_categories,33,3,1
DPAD_categories,34,3,1
DPAD_categories,35,3,1
DPAD_categories,36,0,0
DPAD_categories,37,0,4
DPAD_categories,38,0,4
DPAD_categories,39,0,4
DPAD_categories,40,0,4
DPAD_categories,41,0,4
DPAD_categories,42,0,4
DPAD_categories,43,3,4
DPAD_categories,44,3,4
DPAD_categories,45,3,4
DPAD_categories,46,3,4
DPAD_categories,47,3,0
DPAD_categories,48,3,1
DPAD_categories,49,3,1
DPAD_categories,50,3,1
DPAD_categories,51,3,1
DPAD_categories,52,3,0
DPAD_categories,53,3,4
DPAD_categories,54,3,4
DPAD_categories,55,3,4
DPAD_categories,56,3,4
DPAD_categories,57,3,1
DPAD_categories,58,3,1
DPAD_categories,59,3,1
DPAD_categories,60,3,1
DPAD_categories,61,3,1
DPAD_categories,62,3,1
DPAD_categories,63,3,1
DPAD_categories,64,3,1
DPAD_categories,65,3,1
DPAD_categories,66,3,1
DPAD_categories,67,3,1
DPAD_categories,68,0,1
DPAD_categories,69,0,1
DPAD_categories,70,0,1
DPAD_categories,71,0,1
DPAD_categories,72,0,1
DPAD_categories,73,3,1
DPAD_categories,74,3,1
DPAD_categories,75,3,3
DPAD_categories,76,3,3
DPAD_categories,77,3,3
DPAD_categories,78,3,3
DPAD_categories,79,3,3
DPAD_categories,80,3,3
DPAD_categories,81,3,3
DPAD_categories,82,3,3
DPAD_categories,83,3,0
DPAD_categories,84,3,0
DPAD_categories,85,3,0
DPAD_categories,86,3,3
DPAD_categories,87,3,3
DPAD_categories,88,3,0
DPAD_categories,89,3,0
DPAD_categories,90,3,0
DPAD_categories,91,3,0
DPAD_categories,92,3,0
DPAD_categories,93,3,0
DPAD_categories,94,3,0
DPAD_categories,95,3,0
DPAD_categories,96,3,0
DPAD_categories,97,3,0
DPAD_categories,98,3,0
DPAD_categories,99,0,0
DPAD_categories,100,0,0
DPAD_categories,101,0,0
DPAD_categories,102,0,0
DPAD_categories,103,0,0
DPAD_categories,104,0,0
DPAD_categories,105,0,0
DPAD_categories,106,0,0
DPAD_categories,107,0,0
DPAD_categories,108,0,0
DPAD_categories,109,0,0
DPAD_categories,110,0,0
DPAD_categories,111,1,0
DPAD_categories,112,1,0
DPAD_categories,113,1,3
DPAD_categories,114,1,0
DPAD_categories,115,1,0
DPAD_categories,116,1,3
DPAD_categories,117,1,3
DPAD_categories,118,1,3
DPAD_categories,119,1,3
DPAD_categories,120,1,3
DPAD_categories,121,1,3
DPAD_categories,122,1,3
DPAD_categories,123,1,3
DPAD_categories,124,1,1
DPAD_categories,125,1,0
DPAD_categories,126,1,0
DPAD_categories,127,1,0
DPAD_categories,128,1,1
DPAD_categories,129,1,1
DPAD_categories,130,1,0
DPAD_categories,131,1,0
DPAD_categories,132,1,0
DPAD_categories,133,0,0
DPAD_categories,134,0,0
DPAD_categories,135,0,3
DPAD_categories,136,0,3
DPAD_categories,137,0,3
DPAD_categories,138,0,3
DPAD_categories,139,0,3
