pair,timestep,actual,prediction
DPAD_categories,0,2,0
DPAD_categories,1,2,0
DPAD_categories,2,2,1
DPAD_categories,3,2,1
DPAD_categories,4,2,0
DPAD_categories,5,2,0
DPAD_categories,6,2,3
DPAD_categories,7,2,3
DPAD_categories,8,2,3
DPAD_categories,9,2,3
DPAD_categories,10,2,3
DPAD_categories,11,2,3
DPAD_categories,12,2,3
DPAD_categories,13,2,3
DPAD_categories,14,2,3
DPAD_categories,15,2,4
DPAD_categories,16,2,3
DPAD_categories,17,2,2
DPAD_categories,18,2,2
DPAD_categories,19,2,2
DPAD_categories,20,2,2
DPAD_categories,21,2,2
DPAD_categories,22,2,3
DPAD_categories,23,2,3
DPAD_categories,24,2,1
DPAD_categories,25,2,1
DPAD_categories,26,2,0
DPAD_categories,27,2,0
DPAD_categories,28,2,0
DPAD_categories,29,2,0
DPAD_categories,30,2,3
DPAD_categories,31,2,3
DPAD_categories,32,2,3
DPAD_categories,33,2,0
DPAD_categories,34,2,0
DPAD_categories,35,2,3
DPAD_categories,36,0,0
DPAD_categories,37,0,0
DPAD_categories,38,0,0
DPAD_categories,39,0,0
DPAD_categories,40,0,0
DPAD_categories,41,0,0
DPAD_categories,42,0,3
DPAD_categories,43,2,3
DPAD_categories,44,2,3
DPAD_categories,45,2,3
DPAD_categories,46,2,3
DPAD_categories,47,2,3
DPAD_categories,48,2,0
DPAD_categories,49,2,0
DPAD_categories,50,2,0
DPAD_categories,51,2,0
DPAD_categories,52,2,0
DPAD_categories,53,2,0
DPAD_categories,54,2,0
DPAD_categories,55,2,0
DPAD_categories,56,2,3
DPAD_categories,57,2,0
DPAD_categories,58,2,0
DPAD_categories,59,2,0
DPAD_categories,60,2,3
DPAD_categories,61,2,0
DPAD_categories,62,2,0
DPAD_categories,63,2,1
DPAD_categories,64,2,0
DPAD_categories,65,2,1
DPAD_categories,66,2,1
DPAD_categories,67,2,1
DPAD_categories,68,0,1
DPAD_categories,69,0,1
DPAD_categories,70,0,1
DPAD_categories,71,0,1
