pair,timestep,actual,prediction
DPAD_categories,0,3,0
DPAD_categories,1,3,0
DPAD_categories,2,3,0
DPAD_categories,3,3,0
DPAD_categories,4,3,0
DPAD_categories,5,3,0
DPAD_categories,6,3,0
DPAD_categories,7,3,0
DPAD_categories,8,3,0
DPAD_categories,9,3,0
DPAD_categories,10,3,0
DPAD_categories,11,3,0
DPAD_categories,12,3,1
DPAD_categories,13,3,1
DPAD_categories,14,3,0
DPAD_categories,15,3,0
DPAD_categories,16,3,0
DPAD_categories,17,3,0
DPAD_categories,18,3,0
DPAD_categories,19,3,0
DPAD_categories,20,3,0
DPAD_categories,21,3,0
DPAD_categories,22,3,0
DPAD_categories,23,3,0
DPAD_categories,24,3,0
DPAD_categories,25,3,0
DPAD_categories,26,3,0
DPAD_categories,27,3,0
DPAD_categories,28,3,0
DPAD_categories,29,3,1
DPAD_categories,30,3,1
DPAD_categories,31,3,0
DPAD_categories,32,3,1
DPAD_categories,33,3,1
DPAD_categories,34,3,0
DPAD_categories,35,3,0
DPAD_categories,36,0,0
DPAD_categories,37,0,0
DPAD_categories,38,0,1
DPAD_categories,39,0,1
DPAD_categories,40,0,1
DPAD_categories,41,0,1
DPAD_categories,42,0,1
DPAD_categories,43,2,1
DPAD_categories,44,2,1
DPAD_categories,45,2,1
DPAD_categories,46,2,1
DPAD_categories,47,2,1
DPAD_categories,48,2,1
DPAD_categories,49,2,1
DPAD_categories,50,2,0
DPAD_categories,51,2,0
DPAD_categories,52,2,0
DPAD_categories,53,2,0
DPAD_categories,54,2,0
DPAD_categories,55,2,0
DPAD_categories,56,2,0
DPAD_categories,57,2,0
DPAD_categories,58,2,0
DPAD_categories,59,2,0
DPAD_categories,60,2,0
DPAD_categories,61,2,0
DPAD_categories,62,2,3
DPAD_categories,63,2,3
DPAD_categories,64,2,3
DPAD_categories,65,2,3
DPAD_categories,66,2,0
DPAD_categories,67,2,0
DPAD_categories,68,0,0
DPAD_categories,69,0,0
DPAD_categories,70,0,0
DPAD_categories,71,0,0
DPAD_categories,72,0,0
DPAD_categories,73,0,0
DPAD_categories,74,0,0
DPAD_categories,75,0,0
DPAD_categories,76,0,0
DPAD_categories,77,0,0
DPAD_categories,78,0,0
DPAD_categories,79,0,0
DPAD_categories,80,1,0
DPAD_categories,81,1,0
DPAD_categories,82,1,0
DPAD_categories,83,1,0
DPAD_categories,84,1,0
DPAD_categories,85,1,0
DPAD_categories,86,1,0
DPAD_categories,87,1,3
DPAD_categories,88,1,0
DPAD_categories,89,1,0
DPAD_categories,90,1,0
DPAD_categories,91,1,0
DPAD_categories,92,1,0
DPAD_categories,93,1,0
DPAD_categories,94,1,0
DPAD_categories,95,1,0
DPAD_categories,96,1,0
DPAD_categories,97,1,0
DPAD_categories,98,1,0
DPAD_categories,99,1,0
DPAD_categories,100,1,0
DPAD_categories,101,1,0
DPAD_categories,102,0,0
DPAD_categories,103,0,0
DPAD_categories,104,0,0
DPAD_categories,105,0,0
DPAD_categories,106,0,0
DPAD_categories,107,0,0
DPAD_categories,108,0,0
DPAD_categories,109,0,0
DPAD_categories,110,0,0
DPAD_categories,111,0,0
DPAD_categories,112,0,0
DPAD_categories,113,0,0
DPAD_categories,114,0,2
DPAD_categories,115,0,3
DPAD_categories,116,0,0
DPAD_categories,117,0,0
DPAD_categories,118,0,0
DPAD_categories,119,0,0
DPAD_categories,120,0,0
DPAD_categories,121,0,0
DPAD_categories,122,0,0
DPAD_categories,123,0,0
DPAD_categories,124,0,0
DPAD_categories,125,0,0
DPAD_categories,126,0,0
DPAD_categories,127,0,1
DPAD_categories,128,0,1
DPAD_categories,129,0,1
DPAD_categories,130,0,1
DPAD_categories,131,0,1
DPAD_categories,132,0,1
DPAD_categories,133,0,0
DPAD_categories,134,0,0
DPAD_categories,135,0,0
DPAD_categories,136,0,0
DPAD_categories,137,0,0
DPAD_categories,138,1,0
DPAD_categories,139,1,0
