pair,timestep,actual,prediction
DPAD_valence,0,3,3
DPAD_valence,1,3,3
DPAD_valence,2,3,3
DPAD_valence,3,3,2
DPAD_valence,4,3,2
DPAD_valence,5,3,1
DPAD_valence,6,3,1
DPAD_valence,7,3,0
DPAD_valence,8,3,0
DPAD_valence,9,3,0
DPAD_valence,10,3,0
DPAD_valence,11,3,0
DPAD_valence,12,3,1
DPAD_valence,13,3,1
DPAD_valence,14,3,2
DPAD_valence,15,3,2
DPAD_valence,16,3,3
DPAD_valence,17,3,3
DPAD_valence,18,3,3
DPAD_valence,19,3,3
DPAD_valence,20,3,3
DPAD_valence,21,3,3
DPAD_valence,22,3,2
DPAD_valence,23,3,2
DPAD_valence,24,3,2
DPAD_valence,25,3,2
DPAD_valence,26,3,2
DPAD_valence,27,3,2
DPAD_valence,28,3,2
DPAD_valence,29,3,1
DPAD_valence,30,3,1
DPAD_valence,31,3,0
DPAD_valence,32,3,0
DPAD_valence,33,3,0
DPAD_valence,34,3,0
DPAD_valence,35,3,0
DPAD_valence,36,3,1
DPAD_valence,37,3,1
DPAD_valence,38,3,1
DPAD_valence,39,3,1
DPAD_valence,40,3,0
DPAD_valence,41,3,0
DPAD_valence,42,3,0
DPAD_valence,43,3,1
DPAD_valence,44,3,1
DPAD_valence,45,3,2
DPAD_valence,46,3,2
DPAD_valence,47,3,3
DPAD_valence,48,4,3
DPAD_valence,49,4,3
DPAD_valence,50,4,3
DPAD_valence,51,4,3
DPAD_valence,52,4,3
DPAD_valence,53,4,3
DPAD_valence,54,4,3
DPAD_valence,55,4,3
DPAD_valence,56,4,3
DPAD_valence,57,4,3
DPAD_valence,58,4,3
DPAD_valence,59,4,3
DPAD_valence,60,4,2
DPAD_valence,61,4,2
DPAD_valence,62,4,2
DPAD_valence,63,4,2
DPAD_valence,64,4,2
DPAD_valence,65,4,2
DPAD_valence,66,4,3
DPAD_valence,67,4,3
DPAD_valence,68,4,2
DPAD_valence,69,4,1
DPAD_valence,70,4,1
DPAD_valence,71,4,0
DPAD_valence,72,4,0
DPAD_valence,73,4,1
DPAD_valence,74,3,1
DPAD_valence,75,3,2
DPAD_valence,76,3,2
DPAD_valence,77,3,2
DPAD_valence,78,3,2
DPAD_valence,79,3,2
DPAD_valence,80,3,2
DPAD_valence,81,3,2
DPAD_valence,82,3,2
DPAD_valence,83,3,3
DPAD_valence,84,3,3
DPAD_valence,85,2,3
DPAD_valence,86,1,2
DPAD_valence,87,1,2
DPAD_valence,88,1,2
DPAD_valence,89,1,2
DPAD_valence,90,1,2
DPAD_valence,91,1,3
DPAD_valence,92,1,3
DPAD_valence,93,1,2
DPAD_valence,94,1,2
DPAD_valence,95,1,1
DPAD_valence,96,1,1
DPAD_valence,97,1,0
DPAD_valence,98,1,0
DPAD_valence,99,1,0
DPAD_valence,100,1,0
DPAD_valence,101,1,0
DPAD_valence,102,1,0
DPAD_valence,103,1,0
DPAD_valence,104,1,0
DPAD_valence,105,1,0
DPAD_valence,106,1,0
DPAD_valence,107,1,0
DPAD_valence,108,3,0
DPAD_valence,109,3,1
DPAD_valence,110,3,1
DPAD_valence,111,3,2
DPAD_valence,112,3,2
DPAD_valence,113,3,3
