pair,timestep,actual,prediction
DPAD_categories,0,0,3
DPAD_categories,1,3,1
DPAD_categories,2,3,1
DPAD_categories,3,3,1
DPAD_categories,4,3,1
DPAD_categories,5,3,3
DPAD_categories,6,3,3
DPAD_categories,7,3,3
DPAD_categories,8,3,3
DPAD_categories,9,3,3
DPAD_categories,10,3,3
DPAD_categories,11,3,1
DPAD_categories,12,3,2
DPAD_categories,13,3,2
DPAD_categories,14,3,0
DPAD_categories,15,3,1
DPAD_categories,16,3,3
DPAD_categories,17,3,3
DPAD_categories,18,3,3
DPAD_categories,19,3,3
DPAD_categories,20,3,3
DPAD_categories,21,3,3
DPAD_categories,22,3,3
DPAD_categories,23,3,3
DPAD_categories,24,3,1
DPAD_categories,25,3,1
DPAD_categories,26,3,1
DPAD_categories,27,0,1
DPAD_categories,28,0,1
DPAD_categories,29,0,1
DPAD_categories,30,0,1
DPAD_categories,31,0,1
DPAD_categories,32,1,1
DPAD_categories,33,1,1
DPAD_categories,34,1,1
DPAD_categories,35,1,1
DPAD_categories,36,1,1
DPAD_categories,37,1,1
DPAD_categories,38,1,3
DPAD_categories,39,1,3
DPAD_categories,40,1,3
DPAD_categories,41,1,3
DPAD_categories,42,1,3
DPAD_categories,43,1,3
DPAD_categories,44,1,3
DPAD_categories,45,1,3
DPAD_categories,46,1,0
DPAD_categories,47,1,3
DPAD_categories,48,0,3
DPAD_categories,49,0,3
DPAD_categories,50,0,3
DPAD_categories,51,0,3
DPAD_categories,52,0,3
DPAD_categories,53,1,3
DPAD_categories,54,1,3
DPAD_categories,55,1,3
DPAD_categories,56,1,3
DPAD_categories,57,1,3
DPAD_categories,58,1,3
DPAD_categories,59,1,3
DPAD_categories,60,1,3
DPAD_categories,61,1,3
DPAD_categories,62,1,3
DPAD_categories,63,1,3
DPAD_categories,64,1,3
DPAD_categories,65,1,3
DPAD_categories,66,1,3
DPAD_categories,67,1,3
DPAD_categories,68,1,3
DPAD_categories,69,1,3
DPAD_categories,70,1,3
DPAD_categories,71,1,3
DPAD_categories,72,1,3
DPAD_categories,73,1,3
DPAD_categories,74,1,3
DPAD_categories,75,1,3
DPAD_categories,76,1,3
DPAD_categories,77,1,3
DPAD_categories,78,1,3
DPAD_categories,79,0,3
DPAD_categories,80,0,3
DPAD_categories,81,0,3
DPAD_categories,82,0,3
DPAD_categories,83,0,3
DPAD_categories,84,2,3
DPAD_categories,85,2,3
DPAD_categories,86,2,3
DPAD_categories,87,2,3
DPAD_categories,88,2,3
DPAD_categories,89,2,3
DPAD_categories,90,2,3
DPAD_categories,91,2,3
DPAD_categories,92,2,0
DPAD_categories,93,2,3
DPAD_categories,94,2,3
DPAD_categories,95,2,3
DPAD_categories,96,2,3
DPAD_categories,97,2,3
DPAD_categories,98,2,3
DPAD_categories,99,2,3
DPAD_categories,100,2,3
DPAD_categories,101,2,3
DPAD_categories,102,2,3
DPAD_categories,103,2,3
DPAD_categories,104,2,3
