pair,timestep,actual,prediction
DPAD_valence,0,3,3
DPAD_valence,1,4,3
DPAD_valence,2,4,3
DPAD_valence,3,4,4
DPAD_valence,4,4,4
DPAD_valence,5,4,5
DPAD_valence,6,4,4
DPAD_valence,7,4,4
DPAD_valence,8,4,4
DPAD_valence,9,4,4
DPAD_valence,10,4,4
DPAD_valence,11,4,4
DPAD_valence,12,4,3
DPAD_valence,13,4,3
DPAD_valence,14,4,3
DPAD_valence,15,4,3
DPAD_valence,16,4,3
DPAD_valence,17,4,3
DPAD_valence,18,4,3
DPAD_valence,19,4,3
DPAD_valence,20,4,3
DPAD_valence,21,4,3
DPAD_valence,22,4,3
DPAD_valence,23,4,3
DPAD_valence,24,4,3
DPAD_valence,25,4,4
DPAD_valence,26,4,4
DPAD_valence,27,3,4
DPAD_valence,28,3,3
DPAD_valence,29,3,3
DPAD_valence,30,3,2
DPAD_valence,31,2,2
DPAD_valence,32,3,1
DPAD_valence,33,3,1
DPAD_valence,34,3,2
DPAD_valence,35,3,2
DPAD_valence,36,2,2
DPAD_valence,37,1,3
DPAD_valence,38,1,3
DPAD_valence,39,1,3
DPAD_valence,40,1,4
DPAD_valence,41,1,4
DPAD_valence,42,1,4
DPAD_valence,43,1,4
DPAD_valence,44,1,4
DPAD_valence,45,1,4
DPAD_valence,46,1,4
DPAD_valence,47,1,4
DPAD_valence,48,1,4
DPAD_valence,49,1,4
DPAD_valence,50,1,4
DPAD_valence,51,1,4
DPAD_valence,52,1,4
DPAD_valence,53,1,4
DPAD_valence,54,1,4
DPAD_valence,55,1,4
DPAD_valence,56,1,4
DPAD_valence,57,1,4
DPAD_valence,58,1,4
DPAD_valence,59,1,4
DPAD_valence,60,1,3
DPAD_valence,61,1,3
DPAD_valence,62,1,2
DPAD_valence,63,3,2
DPAD_valence,64,3,1
DPAD_valence,65,3,2
DPAD_valence,66,3,2
DPAD_valence,67,3,3
DPAD_valence,68,4,3
DPAD_valence,69,4,4
DPAD_valence,70,4,4
DPAD_valence,71,4,4
DPAD_valence,72,4,4
DPAD_valence,73,4,4
DPAD_valence,74,4,4
DPAD_valence,75,4,3
DPAD_valence,76,4,3
DPAD_valence,77,4,3
DPAD_valence,78,4,3
DPAD_valence,79,4,3
DPAD_valence,80,4,3
DPAD_valence,81,4,3
DPAD_valence,82,4,3
DPAD_valence,83,4,3
DPAD_valence,84,4,3
DPAD_valence,85,4,2
DPAD_valence,86,4,2
DPAD_valence,87,4,2
DPAD_valence,88,4,2
DPAD_valence,89,4,2
DPAD_valence,90,4,2
DPAD_valence,91,4,2
DPAD_valence,92,4,2
DPAD_valence,93,4,3
DPAD_valence,94,3,3
DPAD_valence,95,3,3
DPAD_valence,96,3,3
DPAD_valence,97,3,3
DPAD_valence,98,3,3
DPAD_valence,99,3,3
DPAD_valence,100,3,2
DPAD_valence,101,3,2
DPAD_valence,102,3,2
DPAD_valence,103,3,2
DPAD_valence,104,3,2
DPAD_valence,105,3,2
DPAD_valence,106,3,3
DPAD_valence,107,3,3
DPAD_valence,108,3,3
DPAD_valence,109,3,3
DPAD_valence,110,3,3
DPAD_valence,111,3,3
DPAD_valence,112,3,3
DPAD_valence,113,3,3
DPAD_valence,114,3,3
DPAD_valence,115,3,3
DPAD_valence,116,3,3
DPAD_valence,117,3,3
DPAD_valence,118,3,2
DPAD_valence,119,3,2
DPAD_valence,120,3,3
DPAD_valence,121,3,3
DPAD_valence,122,3,3
DPAD_valence,123,3,3
DPAD_valence,124,3,2
DPAD_valence,125,3,2
DPAD_valence,126,3,2
DPAD_valence,127,3,2
DPAD_valence,128,3,2
DPAD_valence,129,3,2
DPAD_valence,130,3,3
DPAD_valence,131,2,3
DPAD_valence,132,2,3
DPAD_valence,133,2,3
