patient_id,target,config,macro_f1,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
27,categories,baseline,0.212615,0.286792,0.467105,0.086957,0.138889,0.083333,,
27,categories,two_stage,0.189752,0.220183,0.425397,0.017937,0.137097,0.148148,,
27,categories,oversample,0.179102,0.264591,0.283737,0.132780,0.162679,0.051724,,
27,categories,both,0.177135,0.302789,0.301075,0.136170,0.049751,0.095890,,
28,categories,baseline,0.196799,0.538660,0.321881,0.000000,0.123457,0.000000,,
28,categories,two_stage,0.170998,0.546108,0.308880,0.000000,0.000000,0.000000,,
28,categories,oversample,0.165880,0.511379,0.279310,0.000000,0.038710,0.000000,,
28,categories,both,0.176228,0.563975,0.317164,0.000000,0.000000,0.000000,,
30,categories,baseline,0.157085,0.448468,0.235690,0.000000,0.000000,0.101266,,
30,categories,two_stage,0.223295,0.523605,0.339943,0.000000,0.000000,0.029630,,
30,categories,oversample,0.166267,0.483548,0.334365,0.000000,0.000000,0.013423,,
30,categories,both,0.153913,0.533875,0.235690,0.000000,0.000000,0.000000,,
31,categories,baseline,0.167066,0.449367,0.310204,0.000000,0.075758,0.000000,,
31,categories,two_stage,0.166269,0.444444,0.127208,0.138889,0.120805,0.000000,,
31,categories,oversample,0.147973,0.427481,0.221477,0.000000,0.000000,0.090909,,
31,categories,both,0.145823,0.500000,0.194332,0.034783,0.000000,0.000000,,
