patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
280,logreg,Raw_C10.0,-0.2439,0.3939,0.1094,14.49
280,logreg,HMM_b0.4*_C10.0,-0.2439,0.3956,0.1328,28.29
280,logreg,HMM_b0.6_C10.0,-0.2439,0.3973,0.1333,28.29
280,logreg,HMM_b0.7_C10.0,-0.2439,0.3973,0.1333,28.29
280,logreg,HMM_b0.8_C10.0,-0.2439,0.4007,0.1367,28.29
280,logreg,HMM_b0.85_C10.0,-0.2439,0.4007,0.1367,28.29
280,logreg,HMM_b0.9_C10.0,-0.2439,0.4007,0.1367,28.29
280,logreg,HMM_b0.95_C10.0,-0.2439,0.4007,0.1367,28.29
280,logreg,HMM_b1.0_C10.0,-0.2439,0.4007,0.1367,28.29
280,logreg,HMM_b1.1_C10.0,-0.2439,0.4007,0.1367,28.29
280,logreg+features,Raw_C20.0,-0.2439,0.3956,0.1082,14.49
280,logreg+features,HMM_b0.4*_C20.0,-0.2439,0.399,0.1349,28.29
280,logreg+features,HMM_b0.6_C20.0,-0.2439,0.399,0.1349,28.29
280,logreg+features,HMM_b0.7_C20.0,-0.2439,0.399,0.1349,28.29
280,logreg+features,HMM_b0.8_C20.0,-0.2439,0.3956,0.131,28.29
280,logreg+features,HMM_b0.85_C20.0,-0.2439,0.3973,0.1314,28.29
280,logreg+features,HMM_b0.9_C20.0,-0.2439,0.3973,0.1314,28.29
280,logreg+features,HMM_b0.95_C20.0,-0.2439,0.3973,0.1314,28.29
280,logreg+features,HMM_b1.0_C20.0,-0.2439,0.3973,0.1314,28.29
280,logreg+features,HMM_b1.1_C20.0,-0.2439,0.3973,0.1314,28.29
280,ensemble,Raw_w0.8,-0.2439,0.3923,0.1091,13.81
280,ensemble,HMM_b0.4*_w0.8,-0.2439,0.3822,0.1296,31.26
280,ensemble,HMM_b0.6_w0.8,-0.2439,0.3822,0.1288,34.94
280,ensemble,HMM_b0.7_w0.8,-0.2439,0.3838,0.1293,34.94
280,ensemble,HMM_b0.8_w0.8,-0.2439,0.3855,0.1297,34.94
280,ensemble,HMM_b0.85_w0.8,-0.2439,0.3855,0.1297,34.94
280,ensemble,HMM_b0.9_w0.8,-0.2439,0.3855,0.1297,34.94
280,ensemble,HMM_b0.95_w0.8,-0.2439,0.3872,0.1301,39.6
280,ensemble,HMM_b1.0_w0.8,-0.2439,0.3872,0.1301,39.6
280,ensemble,HMM_b1.1_w0.8,-0.2439,0.3889,0.1305,39.6
