pair,timestep,actual,prediction
logreg_Raw_C10.0,1876,0,0
logreg_Raw_C10.0,1877,0,0
logreg_Raw_C10.0,1878,0,0
logreg_Raw_C10.0,1879,0,0
logreg_Raw_C10.0,1880,0,0
logreg_Raw_C10.0,1881,1,0
logreg_Raw_C10.0,1882,1,0
logreg_Raw_C10.0,1883,1,0
logreg_Raw_C10.0,1884,1,0
logreg_Raw_C10.0,1885,1,0
logreg_Raw_C10.0,1886,1,1
logreg_Raw_C10.0,1887,1,7
logreg_Raw_C10.0,1888,1,1
logreg_Raw_C10.0,1889,1,0
logreg_Raw_C10.0,1890,1,0
logreg_Raw_C10.0,1891,1,0
logreg_Raw_C10.0,1892,1,1
logreg_Raw_C10.0,1893,1,1
logreg_Raw_C10.0,1894,1,1
logreg_Raw_C10.0,1895,1,1
logreg_Raw_C10.0,1896,1,1
logreg_Raw_C10.0,1897,1,1
logreg_Raw_C10.0,1898,1,7
logreg_Raw_C10.0,1899,1,7
logreg_Raw_C10.0,1900,0,0
logreg_Raw_C10.0,1901,0,7
logreg_Raw_C10.0,1902,0,7
logreg_Raw_C10.0,1903,0,0
logreg_Raw_C10.0,1904,0,0
logreg_Raw_C10.0,1905,0,1
logreg_Raw_C10.0,1906,0,1
logreg_Raw_C10.0,1907,0,1
logreg_Raw_C10.0,1908,0,1
logreg_Raw_C10.0,1909,0,1
logreg_Raw_C10.0,1910,0,0
logreg_Raw_C10.0,1911,0,1
logreg_Raw_C10.0,1912,0,1
logreg_Raw_C10.0,1913,0,1
logreg_Raw_C10.0,1914,0,1
logreg_Raw_C10.0,1915,0,1
logreg_Raw_C10.0,1916,0,1
logreg_Raw_C10.0,1917,0,1
logreg_Raw_C10.0,1918,0,1
logreg_Raw_C10.0,1919,0,1
logreg_Raw_C10.0,1920,0,7
logreg_Raw_C10.0,1921,0,7
logreg_Raw_C10.0,1922,0,1
logreg_Raw_C10.0,1923,0,1
logreg_Raw_C10.0,1924,0,1
logreg_Raw_C10.0,1925,0,1
logreg_Raw_C10.0,1926,0,1
logreg_Raw_C10.0,1927,0,1
