patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
PR06,logreg,Raw_C0.5,-1.3797,0.181,0.0795,3.14
PR06,logreg,HMM_b0.4*_C0.5,-1.3797,0.1207,0.0558,6.11
PR06,logreg,HMM_b0.6_C0.5,-1.3797,0.1293,0.0588,6.44
PR06,logreg,HMM_b0.7_C0.5,-1.3797,0.1379,0.0623,6.82
PR06,logreg,HMM_b0.8_C0.5,-1.3797,0.181,0.0759,7.25
PR06,logreg,HMM_b0.85_C0.5,-1.3797,0.181,0.0759,7.25
PR06,logreg,HMM_b0.9_C0.5,-1.3797,0.181,0.0759,7.25
PR06,logreg,HMM_b0.95_C0.5,-1.3797,0.181,0.0737,7.03
PR06,logreg,HMM_b1.0_C0.5,-1.3797,0.181,0.0737,7.03
PR06,logreg,HMM_b1.1_C0.5,-1.3797,0.1983,0.0775,7.48
PR06,logreg+features,Raw_C0.5,-1.3797,0.1724,0.0751,3.05
PR06,logreg+features,HMM_b0.4*_C0.5,-1.3797,0.1207,0.0549,5.8
PR06,logreg+features,HMM_b0.6_C0.5,-1.3797,0.1379,0.0623,6.82
PR06,logreg+features,HMM_b0.7_C0.5,-1.3797,0.1379,0.0623,6.82
PR06,logreg+features,HMM_b0.8_C0.5,-1.3797,0.1379,0.0623,6.82
PR06,logreg+features,HMM_b0.85_C0.5,-1.3797,0.1379,0.0623,6.82
PR06,logreg+features,HMM_b0.9_C0.5,-1.3797,0.1379,0.0623,6.82
PR06,logreg+features,HMM_b0.95_C0.5,-1.3797,0.181,0.0759,7.25
PR06,logreg+features,HMM_b1.0_C0.5,-1.3797,0.1853,0.0772,7.25
PR06,logreg+features,HMM_b1.1_C0.5,-1.3797,0.1983,0.0798,7.73
PR06,ensemble,Raw_w0.5,-1.3797,0.1767,0.0752,2.8
PR06,ensemble,HMM_b0.4*_w0.5,-1.3797,0.0819,0.0441,7.25
PR06,ensemble,HMM_b0.6_w0.5,-1.3797,0.0948,0.0598,10.55
PR06,ensemble,HMM_b0.7_w0.5,-1.3797,0.0948,0.0598,10.55
PR06,ensemble,HMM_b0.8_w0.5,-1.3797,0.1724,0.0928,10.55
PR06,ensemble,HMM_b0.85_w0.5,-1.3797,0.1767,0.0945,10.55
PR06,ensemble,HMM_b0.9_w0.5,-1.3797,0.1767,0.0945,10.55
PR06,ensemble,HMM_b0.95_w0.5,-1.3797,0.1767,0.0915,10.55
PR06,ensemble,HMM_b1.0_w0.5,-1.3797,0.1767,0.0915,10.55
PR06,ensemble,HMM_b1.1_w0.5,-1.3797,0.1767,0.0915,10.55
