pair,timestep,actual,prediction
logreg_Raw_C1.0,2560,6,6
logreg_Raw_C1.0,2561,6,6
logreg_Raw_C1.0,2562,6,0
logreg_Raw_C1.0,2563,6,0
logreg_Raw_C1.0,2564,6,0
logreg_Raw_C1.0,2565,6,0
logreg_Raw_C1.0,2566,6,0
logreg_Raw_C1.0,2567,6,0
logreg_Raw_C1.0,2568,6,0
logreg_Raw_C1.0,2569,6,0
logreg_Raw_C1.0,2570,6,0
logreg_Raw_C1.0,2571,6,5
logreg_Raw_C1.0,2572,6,6
logreg_Raw_C1.0,2573,6,0
logreg_Raw_C1.0,2574,6,5
logreg_Raw_C1.0,2575,6,5
logreg_Raw_C1.0,2576,6,5
logreg_Raw_C1.0,2577,6,5
logreg_Raw_C1.0,2578,6,0
logreg_Raw_C1.0,2579,0,0
logreg_Raw_C1.0,2580,0,0
logreg_Raw_C1.0,2581,0,0
logreg_Raw_C1.0,2582,0,0
logreg_Raw_C1.0,2583,7,0
logreg_Raw_C1.0,2584,7,0
logreg_Raw_C1.0,2585,7,0
logreg_Raw_C1.0,2586,7,0
logreg_Raw_C1.0,2587,7,0
logreg_Raw_C1.0,2588,7,0
logreg_Raw_C1.0,2589,7,0
logreg_Raw_C1.0,2590,7,1
logreg_Raw_C1.0,2591,7,0
logreg_Raw_C1.0,2592,7,6
logreg_Raw_C1.0,2593,7,0
logreg_Raw_C1.0,2594,7,0
logreg_Raw_C1.0,2595,7,6
logreg_Raw_C1.0,2596,7,6
logreg_Raw_C1.0,2597,7,6
logreg_Raw_C1.0,2598,7,6
logreg_Raw_C1.0,2599,7,6
logreg_Raw_C1.0,2600,7,6
logreg_Raw_C1.0,2601,7,6
logreg_Raw_C1.0,2602,7,0
logreg_Raw_C1.0,2603,7,0
logreg_Raw_C1.0,2604,7,0
logreg_Raw_C1.0,2605,7,0
logreg_Raw_C1.0,2606,7,0
logreg_Raw_C1.0,2607,7,0
logreg_Raw_C1.0,2608,7,1
logreg_Raw_C1.0,2609,7,1
logreg_Raw_C1.0,2610,0,1
logreg_Raw_C1.0,2611,0,1
logreg_Raw_C1.0,2612,0,1
logreg_Raw_C1.0,2613,0,6
logreg_Raw_C1.0,2614,0,6
logreg_Raw_C1.0,2615,1,6
logreg_Raw_C1.0,2616,1,6
logreg_Raw_C1.0,2617,1,0
logreg_Raw_C1.0,2618,1,0
logreg_Raw_C1.0,2619,1,0
logreg_Raw_C1.0,2620,1,0
logreg_Raw_C1.0,2621,1,0
logreg_Raw_C1.0,2622,1,0
logreg_Raw_C1.0,2623,1,0
logreg_Raw_C1.0,2624,1,0
logreg_Raw_C1.0,2625,1,0
logreg_Raw_C1.0,2626,1,0
logreg_Raw_C1.0,2627,1,0
logreg_Raw_C1.0,2628,1,5
logreg_Raw_C1.0,2629,1,0
logreg_Raw_C1.0,2630,1,5
logreg_Raw_C1.0,2631,1,5
logreg_Raw_C1.0,2632,1,0
logreg_Raw_C1.0,2633,1,5
logreg_Raw_C1.0,2634,1,6
logreg_Raw_C1.0,2635,1,6
logreg_Raw_C1.0,2636,1,6
logreg_Raw_C1.0,2637,1,6
logreg_Raw_C1.0,2638,1,6
logreg_Raw_C1.0,2639,1,0
logreg_Raw_C1.0,2640,1,0
logreg_Raw_C1.0,2641,0,0
logreg_Raw_C1.0,2642,0,0
logreg_Raw_C1.0,2643,0,0
logreg_Raw_C1.0,2644,0,0
logreg_Raw_C1.0,2645,0,0
logreg_Raw_C1.0,2646,0,7
logreg_Raw_C1.0,2647,0,6
logreg_Raw_C1.0,2648,9,0
logreg_Raw_C1.0,2649,9,5
logreg_Raw_C1.0,2650,9,5
logreg_Raw_C1.0,2651,9,0
logreg_Raw_C1.0,2652,9,0
logreg_Raw_C1.0,2653,9,0
logreg_Raw_C1.0,2654,9,0
logreg_Raw_C1.0,2655,9,0
logreg_Raw_C1.0,2656,9,0
logreg_Raw_C1.0,2657,9,0
logreg_Raw_C1.0,2658,9,0
logreg_Raw_C1.0,2659,9,6
logreg_Raw_C1.0,2660,9,6
logreg_Raw_C1.0,2661,9,6
logreg_Raw_C1.0,2662,9,6
logreg_Raw_C1.0,2663,9,6
logreg_Raw_C1.0,2664,9,6
logreg_Raw_C1.0,2665,9,6
logreg_Raw_C1.0,2666,9,0
logreg_Raw_C1.0,2667,9,0
logreg_Raw_C1.0,2668,9,6
logreg_Raw_C1.0,2669,9,0
logreg_Raw_C1.0,2670,9,0
logreg_Raw_C1.0,2671,0,0
logreg_Raw_C1.0,2672,0,0
logreg_Raw_C1.0,2673,0,0
logreg_Raw_C1.0,2674,0,0
logreg_Raw_C1.0,2675,5,0
logreg_Raw_C1.0,2676,5,0
logreg_Raw_C1.0,2677,5,0
logreg_Raw_C1.0,2678,5,0
logreg_Raw_C1.0,2679,5,0
logreg_Raw_C1.0,2680,5,0
logreg_Raw_C1.0,2681,5,6
logreg_Raw_C1.0,2682,5,6
logreg_Raw_C1.0,2683,5,6
logreg_Raw_C1.0,2684,5,6
logreg_Raw_C1.0,2685,5,6
logreg_Raw_C1.0,2686,5,0
logreg_Raw_C1.0,2687,5,0
logreg_Raw_C1.0,2688,5,0
logreg_Raw_C1.0,2689,5,0
logreg_Raw_C1.0,2690,5,0
logreg_Raw_C1.0,2691,5,0
logreg_Raw_C1.0,2692,5,7
logreg_Raw_C1.0,2693,5,6
logreg_Raw_C1.0,2694,5,6
logreg_Raw_C1.0,2695,5,6
logreg_Raw_C1.0,2696,5,0
logreg_Raw_C1.0,2697,5,0
logreg_Raw_C1.0,2698,5,0
logreg_Raw_C1.0,2699,5,0
logreg_Raw_C1.0,2700,5,0
logreg_Raw_C1.0,2701,5,0
logreg_Raw_C1.0,2702,0,0
logreg_Raw_C1.0,2703,0,0
logreg_Raw_C1.0,2704,0,0
logreg_Raw_C1.0,2705,0,0
logreg_Raw_C1.0,2706,5,0
logreg_Raw_C1.0,2707,5,0
logreg_Raw_C1.0,2708,5,0
logreg_Raw_C1.0,2709,5,1
logreg_Raw_C1.0,2710,5,1
logreg_Raw_C1.0,2711,5,0
logreg_Raw_C1.0,2712,5,0
logreg_Raw_C1.0,2713,5,0
logreg_Raw_C1.0,2714,5,6
logreg_Raw_C1.0,2715,5,6
logreg_Raw_C1.0,2716,5,6
logreg_Raw_C1.0,2717,5,6
logreg_Raw_C1.0,2718,5,0
logreg_Raw_C1.0,2719,5,0
logreg_Raw_C1.0,2720,5,0
logreg_Raw_C1.0,2721,5,0
logreg_Raw_C1.0,2722,5,0
logreg_Raw_C1.0,2723,5,0
logreg_Raw_C1.0,2724,5,0
logreg_Raw_C1.0,2725,5,0
logreg_Raw_C1.0,2726,5,0
logreg_Raw_C1.0,2727,5,0
logreg_Raw_C1.0,2728,5,6
logreg_Raw_C1.0,2729,5,6
logreg_Raw_C1.0,2730,5,6
logreg_Raw_C1.0,2731,5,0
logreg_Raw_C1.0,2732,5,0
logreg_Raw_C1.0,2733,5,0
logreg_Raw_C1.0,2734,5,0
logreg_Raw_C1.0,2735,5,0
logreg_Raw_C1.0,2736,5,0
logreg_Raw_C1.0,2737,5,6
logreg_Raw_C1.0,2738,5,6
logreg_Raw_C1.0,2739,0,6
logreg_Raw_C1.0,2740,0,0
logreg_Raw_C1.0,2741,0,6
logreg_Raw_C1.0,2742,5,6
logreg_Raw_C1.0,2743,5,6
logreg_Raw_C1.0,2744,5,6
logreg_Raw_C1.0,2745,5,6
logreg_Raw_C1.0,2746,5,6
logreg_Raw_C1.0,2747,5,0
logreg_Raw_C1.0,2748,5,0
logreg_Raw_C1.0,2749,5,0
logreg_Raw_C1.0,2750,5,0
logreg_Raw_C1.0,2751,5,0
logreg_Raw_C1.0,2752,5,0
logreg_Raw_C1.0,2753,5,0
logreg_Raw_C1.0,2754,5,0
logreg_Raw_C1.0,2755,5,0
logreg_Raw_C1.0,2756,5,0
logreg_Raw_C1.0,2757,5,0
logreg_Raw_C1.0,2758,5,0
logreg_Raw_C1.0,2759,5,0
logreg_Raw_C1.0,2760,5,1
logreg_Raw_C1.0,2761,5,1
