patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
325,logreg,Raw_C0.5,-2.0326,0.3074,0.1742,4.42
325,logreg,HMM_b0.4*_C0.5,-2.0326,0.3286,0.1724,9.43
325,logreg,HMM_b0.6_C0.5,-2.0326,0.3339,0.174,9.76
325,logreg,HMM_b0.7_C0.5,-2.0326,0.3428,0.1775,10.11
325,logreg,HMM_b0.8_C0.5,-2.0326,0.3286,0.1601,10.88
325,logreg,HMM_b0.85_C0.5,-2.0326,0.3392,0.163,11.32
325,logreg,HMM_b0.9_C0.5,-2.0326,0.3392,0.163,11.32
325,logreg,HMM_b0.95_C0.5,-2.0326,0.3375,0.1605,11.32
325,logreg,HMM_b1.0_C0.5,-2.0326,0.3375,0.1605,11.32
325,logreg,HMM_b1.1_C0.5,-2.0326,0.3375,0.1605,11.32
325,logreg+features,Raw_C0.5,-2.0326,0.3092,0.1748,4.56
325,logreg+features,HMM_b0.4*_C0.5,-2.0326,0.3286,0.1731,8.84
325,logreg+features,HMM_b0.6_C0.5,-2.0326,0.3375,0.1755,9.43
325,logreg+features,HMM_b0.7_C0.5,-2.0326,0.3428,0.178,9.76
325,logreg+features,HMM_b0.8_C0.5,-2.0326,0.3375,0.1631,10.88
325,logreg+features,HMM_b0.85_C0.5,-2.0326,0.3375,0.1631,10.88
325,logreg+features,HMM_b0.9_C0.5,-2.0326,0.3375,0.1624,11.32
325,logreg+features,HMM_b0.95_C0.5,-2.0326,0.3392,0.1629,11.32
325,logreg+features,HMM_b1.0_C0.5,-2.0326,0.3375,0.1605,11.32
325,logreg+features,HMM_b1.1_C0.5,-2.0326,0.3375,0.1597,11.79
325,ensemble,Raw_w0.5,-2.0326,0.318,0.1684,5.01
325,ensemble,HMM_b0.4*_w0.5,-2.0326,0.3269,0.1478,14.51
325,ensemble,HMM_b0.6_w0.5,-2.0326,0.3339,0.1517,17.15
325,ensemble,HMM_b0.7_w0.5,-2.0326,0.3445,0.1544,17.15
325,ensemble,HMM_b0.8_w0.5,-2.0326,0.3392,0.1522,18.26
325,ensemble,HMM_b0.85_w0.5,-2.0326,0.341,0.1526,18.26
325,ensemble,HMM_b0.9_w0.5,-2.0326,0.341,0.1526,18.26
325,ensemble,HMM_b0.95_w0.5,-2.0326,0.3375,0.1519,18.87
325,ensemble,HMM_b1.0_w0.5,-2.0326,0.3445,0.1536,20.21
325,ensemble,HMM_b1.1_w0.5,-2.0326,0.3463,0.1541,20.21
