patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
PR06,knn,Raw,-3.5535,0.2134,0.0627,4.78
PR06,knn,EMA_a0.3,-3.5535,0.2510,0.0710,7.03
PR06,knn,EMA_a0.5,-3.5535,0.2510,0.0689,5.83
PR06,knn,EMA_a0.7,-3.5535,0.2301,0.0655,5.43
PR06,knn,HMM_b0.2,-3.5535,0.2427,0.0762,7.03
PR06,knn,HMM_b0.5,-3.5535,0.2594,0.0796,7.47
PR06,knn,HMM_b0.8,-3.5535,0.2803,0.0964,8.54
PR06,logreg,Raw_C1.0,-3.5535,0.2259,0.0558,4.98
PR06,logreg,EMA_a0.3_C1.0,-3.5535,0.2845,0.0630,9.19
PR06,logreg,EMA_a0.5_C1.0,-3.5535,0.2427,0.0571,7.97
PR06,logreg,EMA_a0.7_C1.0,-3.5535,0.2427,0.0575,6.64
PR06,logreg,HMM_b0.2_C1.0,-3.5535,0.2301,0.0649,10.39
PR06,logreg,HMM_b0.5_C1.0,-3.5535,0.2301,0.0631,11.38
PR06,logreg,HMM_b0.8_C1.0,-3.5535,0.2469,0.0665,11.38
