pair,timestep,actual,prediction
knn_Raw,956,5,1
knn_Raw,957,5,1
knn_Raw,958,5,0
knn_Raw,959,5,0
knn_Raw,960,5,0
knn_Raw,961,5,0
knn_Raw,962,5,0
knn_Raw,963,5,0
knn_Raw,964,5,0
knn_Raw,965,5,1
knn_Raw,966,5,1
knn_Raw,967,5,1
knn_Raw,968,5,1
knn_Raw,969,5,1
knn_Raw,970,5,1
knn_Raw,971,5,1
knn_Raw,972,5,0
knn_Raw,973,5,0
knn_Raw,974,5,0
knn_Raw,975,5,0
knn_Raw,976,5,0
knn_Raw,977,5,0
knn_Raw,978,5,0
knn_Raw,979,5,0
knn_Raw,980,0,1
knn_Raw,981,0,0
knn_Raw,982,0,0
knn_Raw,983,0,0
knn_Raw,984,0,0
knn_Raw,985,0,0
knn_Raw,986,0,0
knn_Raw,987,0,0
knn_Raw,988,0,0
knn_Raw,989,0,0
knn_Raw,990,0,0
knn_Raw,991,0,0
knn_Raw,992,0,0
knn_Raw,993,0,0
knn_Raw,994,0,0
knn_Raw,995,0,0
knn_Raw,996,0,0
knn_Raw,997,0,0
knn_Raw,998,0,1
knn_Raw,999,0,1
knn_Raw,1000,0,0
knn_Raw,1001,0,0
knn_Raw,1002,0,0
knn_Raw,1003,0,8
knn_Raw,1004,0,8
knn_Raw,1005,0,8
knn_Raw,1006,0,8
knn_Raw,1007,0,0
knn_Raw,1008,0,0
knn_Raw,1009,0,0
knn_Raw,1010,0,0
knn_Raw,1011,0,1
knn_Raw,1012,0,1
knn_Raw,1013,0,1
knn_Raw,1014,0,1
knn_Raw,1015,0,1
knn_Raw,1016,0,1
knn_Raw,1017,6,1
knn_Raw,1018,6,0
knn_Raw,1019,6,0
knn_Raw,1020,6,0
knn_Raw,1021,6,0
knn_Raw,1022,6,0
knn_Raw,1023,6,0
knn_Raw,1024,6,0
knn_Raw,1025,6,0
knn_Raw,1026,6,0
knn_Raw,1027,6,0
knn_Raw,1028,6,0
knn_Raw,1029,6,0
knn_Raw,1030,6,1
knn_Raw,1031,6,1
knn_Raw,1032,6,1
knn_Raw,1033,6,7
knn_Raw,1034,6,0
knn_Raw,1035,6,0
knn_Raw,1036,6,0
knn_Raw,1037,6,0
knn_Raw,1038,6,7
knn_Raw,1039,6,8
knn_Raw,1040,6,8
knn_Raw,1041,0,8
knn_Raw,1042,0,8
knn_Raw,1043,0,8
knn_Raw,1044,0,8
knn_Raw,1045,0,8
knn_Raw,1046,0,0
knn_Raw,1047,0,0
knn_Raw,1048,0,0
knn_Raw,1049,0,0
knn_Raw,1050,7,0
knn_Raw,1051,7,0
knn_Raw,1052,7,0
knn_Raw,1053,7,1
knn_Raw,1054,7,1
knn_Raw,1055,7,0
knn_Raw,1056,7,0
knn_Raw,1057,7,1
knn_Raw,1058,7,0
knn_Raw,1059,7,0
knn_Raw,1060,7,0
knn_Raw,1061,7,0
knn_Raw,1062,7,0
knn_Raw,1063,7,0
knn_Raw,1064,7,0
knn_Raw,1065,7,0
knn_Raw,1066,7,0
knn_Raw,1067,7,0
knn_Raw,1068,7,0
knn_Raw,1069,7,0
knn_Raw,1070,7,7
knn_Raw,1071,7,7
knn_Raw,1072,0,0
knn_Raw,1073,0,0
knn_Raw,1074,0,0
knn_Raw,1075,0,0
knn_Raw,1076,0,0
knn_Raw,1077,1,0
knn_Raw,1078,1,0
knn_Raw,1079,1,0
knn_Raw,1080,1,0
knn_Raw,1081,1,0
knn_Raw,1082,1,0
knn_Raw,1083,1,0
knn_Raw,1084,1,0
knn_Raw,1085,1,0
knn_Raw,1086,1,0
knn_Raw,1087,1,2
knn_Raw,1088,1,2
knn_Raw,1089,1,4
knn_Raw,1090,1,6
knn_Raw,1091,1,6
knn_Raw,1092,1,6
knn_Raw,1093,1,6
knn_Raw,1094,1,6
knn_Raw,1095,1,6
knn_Raw,1096,1,0
knn_Raw,1097,1,0
knn_Raw,1098,1,0
knn_Raw,1099,1,0
knn_Raw,1100,1,0
knn_Raw,1101,1,0
knn_Raw,1102,1,0
knn_Raw,1103,0,0
knn_Raw,1104,0,1
knn_Raw,1105,0,1
knn_Raw,1106,0,1
knn_Raw,1107,0,0
knn_Raw,1108,0,0
knn_Raw,1109,0,0
knn_Raw,1110,0,0
knn_Raw,1111,0,0
knn_Raw,1112,0,0
knn_Raw,1113,0,0
knn_Raw,1114,0,0
knn_Raw,1115,0,7
knn_Raw,1116,0,7
knn_Raw,1117,0,7
knn_Raw,1118,0,7
knn_Raw,1119,0,7
knn_Raw,1120,0,7
knn_Raw,1121,0,7
knn_Raw,1122,0,7
knn_Raw,1123,0,7
knn_Raw,1124,0,0
knn_Raw,1125,0,0
knn_Raw,1126,0,0
knn_Raw,1127,0,0
knn_Raw,1128,0,7
knn_Raw,1129,0,0
knn_Raw,1130,0,1
knn_Raw,1131,0,0
knn_Raw,1132,0,7
knn_Raw,1133,0,0
knn_Raw,1134,0,8
knn_Raw,1135,0,7
knn_Raw,1136,0,7
knn_Raw,1137,0,7
knn_Raw,1138,0,7
knn_Raw,1139,5,7
knn_Raw,1140,5,0
knn_Raw,1141,5,0
knn_Raw,1142,5,0
knn_Raw,1143,5,0
knn_Raw,1144,5,0
knn_Raw,1145,5,0
knn_Raw,1146,5,0
knn_Raw,1147,5,0
knn_Raw,1148,5,0
knn_Raw,1149,5,0
knn_Raw,1150,5,0
knn_Raw,1151,5,0
knn_Raw,1152,5,0
knn_Raw,1153,5,0
knn_Raw,1154,5,0
knn_Raw,1155,5,1
knn_Raw,1156,5,0
knn_Raw,1157,5,0
knn_Raw,1158,5,0
knn_Raw,1159,5,0
knn_Raw,1160,5,0
knn_Raw,1161,5,0
knn_Raw,1162,5,1
knn_Raw,1163,5,1
knn_Raw,1164,0,1
knn_Raw,1165,0,1
knn_Raw,1166,0,1
knn_Raw,1167,0,8
knn_Raw,1168,0,8
knn_Raw,1169,6,8
knn_Raw,1170,6,0
knn_Raw,1171,6,0
knn_Raw,1172,6,0
knn_Raw,1173,6,0
knn_Raw,1174,6,0
knn_Raw,1175,6,0
knn_Raw,1176,6,8
knn_Raw,1177,6,8
knn_Raw,1178,6,0
knn_Raw,1179,6,0
knn_Raw,1180,6,1
knn_Raw,1181,6,1
knn_Raw,1182,6,1
knn_Raw,1183,6,1
knn_Raw,1184,6,1
knn_Raw,1185,6,1
knn_Raw,1186,6,1
knn_Raw,1187,6,1
knn_Raw,1188,6,1
knn_Raw,1189,6,0
knn_Raw,1190,6,0
knn_Raw,1191,6,0
knn_Raw,1192,6,0
knn_Raw,1193,6,0
knn_Raw,1194,6,0
knn_EMA_a0.3,956,5,1
knn_EMA_a0.3,957,5,1
knn_EMA_a0.3,958,5,1
knn_EMA_a0.3,959,5,0
knn_EMA_a0.3,960,5,0
knn_EMA_a0.3,961,5,0
knn_EMA_a0.3,962,5,0
knn_EMA_a0.3,963,5,0
knn_EMA_a0.3,964,5,0
knn_EMA_a0.3,965,5,0
knn_EMA_a0.3,966,5,0
knn_EMA_a0.3,967,5,1
knn_EMA_a0.3,968,5,1
knn_EMA_a0.3,969,5,1
knn_EMA_a0.3,970,5,1
knn_EMA_a0.3,971,5,1
knn_EMA_a0.3,972,5,1
knn_EMA_a0.3,973,5,0
knn_EMA_a0.3,974,5,0
knn_EMA_a0.3,975,5,0
knn_EMA_a0.3,976,5,0
knn_EMA_a0.3,977,5,0
knn_EMA_a0.3,978,5,0
knn_EMA_a0.3,979,5,0
knn_EMA_a0.3,980,0,0
knn_EMA_a0.3,981,0,0
knn_EMA_a0.3,982,0,0
knn_EMA_a0.3,983,0,0
knn_EMA_a0.3,984,0,0
knn_EMA_a0.3,985,0,0
knn_EMA_a0.3,986,0,0
knn_EMA_a0.3,987,0,0
knn_EMA_a0.3,988,0,0
knn_EMA_a0.3,989,0,0
knn_EMA_a0.3,990,0,0
knn_EMA_a0.3,991,0,0
knn_EMA_a0.3,992,0,0
knn_EMA_a0.3,993,0,0
knn_EMA_a0.3,994,0,0
knn_EMA_a0.3,995,0,0
knn_EMA_a0.3,996,0,0
knn_EMA_a0.3,997,0,0
knn_EMA_a0.3,998,0,0
knn_EMA_a0.3,999,0,0
knn_EMA_a0.3,1000,0,0
knn_EMA_a0.3,1001,0,0
knn_EMA_a0.3,1002,0,0
knn_EMA_a0.3,1003,0,0
knn_EMA_a0.3,1004,0,8
knn_EMA_a0.3,1005,0,8
knn_EMA_a0.3,1006,0,8
knn_EMA_a0.3,1007,0,0
knn_EMA_a0.3,1008,0,0
knn_EMA_a0.3,1009,0,0
knn_EMA_a0.3,1010,0,0
knn_EMA_a0.3,1011,0,0
knn_EMA_a0.3,1012,0,0
knn_EMA_a0.3,1013,0,1
knn_EMA_a0.3,1014,0,1
knn_EMA_a0.3,1015,0,1
knn_EMA_a0.3,1016,0,1
knn_EMA_a0.3,1017,6,1
knn_EMA_a0.3,1018,6,1
knn_EMA_a0.3,1019,6,0
knn_EMA_a0.3,1020,6,0
knn_EMA_a0.3,1021,6,0
knn_EMA_a0.3,1022,6,0
knn_EMA_a0.3,1023,6,0
knn_EMA_a0.3,1024,6,0
knn_EMA_a0.3,1025,6,0
knn_EMA_a0.3,1026,6,0
knn_EMA_a0.3,1027,6,0
knn_EMA_a0.3,1028,6,0
knn_EMA_a0.3,1029,6,0
knn_EMA_a0.3,1030,6,0
knn_EMA_a0.3,1031,6,0
knn_EMA_a0.3,1032,6,1
knn_EMA_a0.3,1033,6,1
knn_EMA_a0.3,1034,6,0
knn_EMA_a0.3,1035,6,0
knn_EMA_a0.3,1036,6,0
knn_EMA_a0.3,1037,6,0
knn_EMA_a0.3,1038,6,0
knn_EMA_a0.3,1039,6,0
knn_EMA_a0.3,1040,6,0
knn_EMA_a0.3,1041,0,8
knn_EMA_a0.3,1042,0,8
knn_EMA_a0.3,1043,0,8
knn_EMA_a0.3,1044,0,8
knn_EMA_a0.3,1045,0,8
knn_EMA_a0.3,1046,0,0
knn_EMA_a0.3,1047,0,0
knn_EMA_a0.3,1048,0,0
knn_EMA_a0.3,1049,0,0
knn_EMA_a0.3,1050,7,0
knn_EMA_a0.3,1051,7,0
knn_EMA_a0.3,1052,7,0
knn_EMA_a0.3,1053,7,0
knn_EMA_a0.3,1054,7,0
knn_EMA_a0.3,1055,7,0
knn_EMA_a0.3,1056,7,0
knn_EMA_a0.3,1057,7,0
knn_EMA_a0.3,1058,7,0
knn_EMA_a0.3,1059,7,0
knn_EMA_a0.3,1060,7,0
knn_EMA_a0.3,1061,7,0
knn_EMA_a0.3,1062,7,0
knn_EMA_a0.3,1063,7,0
knn_EMA_a0.3,1064,7,0
knn_EMA_a0.3,1065,7,0
knn_EMA_a0.3,1066,7,0
knn_EMA_a0.3,1067,7,0
knn_EMA_a0.3,1068,7,0
knn_EMA_a0.3,1069,7,0
knn_EMA_a0.3,1070,7,0
knn_EMA_a0.3,1071,7,7
knn_EMA_a0.3,1072,0,0
knn_EMA_a0.3,1073,0,0
knn_EMA_a0.3,1074,0,0
knn_EMA_a0.3,1075,0,0
knn_EMA_a0.3,1076,0,0
knn_EMA_a0.3,1077,1,0
knn_EMA_a0.3,1078,1,0
knn_EMA_a0.3,1079,1,0
knn_EMA_a0.3,1080,1,0
knn_EMA_a0.3,1081,1,0
knn_EMA_a0.3,1082,1,0
knn_EMA_a0.3,1083,1,0
knn_EMA_a0.3,1084,1,0
knn_EMA_a0.3,1085,1,0
knn_EMA_a0.3,1086,1,0
knn_EMA_a0.3,1087,1,0
knn_EMA_a0.3,1088,1,2
knn_EMA_a0.3,1089,1,0
knn_EMA_a0.3,1090,1,0
knn_EMA_a0.3,1091,1,6
knn_EMA_a0.3,1092,1,6
knn_EMA_a0.3,1093,1,6
knn_EMA_a0.3,1094,1,6
knn_EMA_a0.3,1095,1,6
knn_EMA_a0.3,1096,1,6
knn_EMA_a0.3,1097,1,0
knn_EMA_a0.3,1098,1,0
knn_EMA_a0.3,1099,1,0
