pair,timestep,actual,prediction
logreg_Raw_C0.5,956,5,1
logreg_Raw_C0.5,957,5,1
logreg_Raw_C0.5,958,5,0
logreg_Raw_C0.5,959,5,0
logreg_Raw_C0.5,960,5,0
logreg_Raw_C0.5,961,5,0
logreg_Raw_C0.5,962,5,0
logreg_Raw_C0.5,963,5,0
logreg_Raw_C0.5,964,5,0
logreg_Raw_C0.5,965,5,1
logreg_Raw_C0.5,966,5,1
logreg_Raw_C0.5,967,5,1
logreg_Raw_C0.5,968,5,1
logreg_Raw_C0.5,969,5,1
logreg_Raw_C0.5,970,5,1
logreg_Raw_C0.5,971,5,1
logreg_Raw_C0.5,972,5,0
logreg_Raw_C0.5,973,5,0
logreg_Raw_C0.5,974,5,0
logreg_Raw_C0.5,975,5,0
logreg_Raw_C0.5,976,5,0
logreg_Raw_C0.5,977,5,0
logreg_Raw_C0.5,978,5,0
logreg_Raw_C0.5,979,5,0
logreg_Raw_C0.5,980,0,0
logreg_Raw_C0.5,981,0,0
logreg_Raw_C0.5,982,0,0
logreg_Raw_C0.5,983,0,0
logreg_Raw_C0.5,984,0,0
logreg_Raw_C0.5,985,0,0
logreg_Raw_C0.5,986,0,0
logreg_Raw_C0.5,987,0,0
logreg_Raw_C0.5,988,0,0
logreg_Raw_C0.5,989,0,0
logreg_Raw_C0.5,990,0,0
logreg_Raw_C0.5,991,0,0
logreg_Raw_C0.5,992,0,0
logreg_Raw_C0.5,993,0,0
logreg_Raw_C0.5,994,0,0
logreg_Raw_C0.5,995,0,0
logreg_Raw_C0.5,996,0,0
logreg_Raw_C0.5,997,0,0
logreg_Raw_C0.5,998,0,8
logreg_Raw_C0.5,999,0,8
logreg_Raw_C0.5,1000,0,8
logreg_Raw_C0.5,1001,0,8
logreg_Raw_C0.5,1002,0,8
logreg_Raw_C0.5,1003,0,8
logreg_Raw_C0.5,1004,0,8
logreg_Raw_C0.5,1005,0,8
logreg_Raw_C0.5,1006,0,0
logreg_Raw_C0.5,1007,0,0
logreg_Raw_C0.5,1008,0,0
logreg_Raw_C0.5,1009,0,0
logreg_Raw_C0.5,1010,0,0
logreg_Raw_C0.5,1011,0,1
logreg_Raw_C0.5,1012,0,1
logreg_Raw_C0.5,1013,0,1
logreg_Raw_C0.5,1014,0,1
logreg_Raw_C0.5,1015,0,1
logreg_Raw_C0.5,1016,0,1
logreg_Raw_C0.5,1017,6,1
logreg_Raw_C0.5,1018,6,0
logreg_Raw_C0.5,1019,6,0
logreg_Raw_C0.5,1020,6,0
logreg_Raw_C0.5,1021,6,0
logreg_Raw_C0.5,1022,6,0
logreg_Raw_C0.5,1023,6,0
logreg_Raw_C0.5,1024,6,0
logreg_Raw_C0.5,1025,6,0
logreg_Raw_C0.5,1026,6,0
logreg_Raw_C0.5,1027,6,0
logreg_Raw_C0.5,1028,6,0
logreg_Raw_C0.5,1029,6,1
logreg_Raw_C0.5,1030,6,1
logreg_Raw_C0.5,1031,6,1
logreg_Raw_C0.5,1032,6,1
logreg_Raw_C0.5,1033,6,7
logreg_Raw_C0.5,1034,6,0
logreg_Raw_C0.5,1035,6,0
logreg_Raw_C0.5,1036,6,0
logreg_Raw_C0.5,1037,6,3
logreg_Raw_C0.5,1038,6,3
logreg_Raw_C0.5,1039,6,3
logreg_Raw_C0.5,1040,6,8
logreg_Raw_C0.5,1041,0,8
logreg_Raw_C0.5,1042,0,8
logreg_Raw_C0.5,1043,0,3
logreg_Raw_C0.5,1044,0,3
logreg_Raw_C0.5,1045,0,0
logreg_Raw_C0.5,1046,0,0
