pair,timestep,actual,prediction
logreg_Raw_C10.0,2375,5,0
logreg_Raw_C10.0,2376,5,0
logreg_Raw_C10.0,2377,0,0
logreg_Raw_C10.0,2378,0,0
logreg_Raw_C10.0,2379,0,0
logreg_Raw_C10.0,2380,0,0
logreg_Raw_C10.0,2381,0,0
logreg_Raw_C10.0,2382,5,0
logreg_Raw_C10.0,2383,5,0
logreg_Raw_C10.0,2384,5,0
logreg_Raw_C10.0,2385,5,0
logreg_Raw_C10.0,2386,5,0
logreg_Raw_C10.0,2387,5,0
logreg_Raw_C10.0,2388,5,0
logreg_Raw_C10.0,2389,5,0
logreg_Raw_C10.0,2390,5,0
logreg_Raw_C10.0,2391,5,0
logreg_Raw_C10.0,2392,5,0
logreg_Raw_C10.0,2393,5,0
logreg_Raw_C10.0,2394,5,0
logreg_Raw_C10.0,2395,5,0
logreg_Raw_C10.0,2396,5,0
logreg_Raw_C10.0,2397,5,0
logreg_Raw_C10.0,2398,5,0
logreg_Raw_C10.0,2399,5,0
logreg_Raw_C10.0,2400,5,0
logreg_Raw_C10.0,2401,5,0
logreg_Raw_C10.0,2402,5,0
logreg_Raw_C10.0,2403,5,0
logreg_Raw_C10.0,2404,5,0
logreg_Raw_C10.0,2405,5,0
logreg_Raw_C10.0,2406,5,0
logreg_Raw_C10.0,2407,0,0
logreg_Raw_C10.0,2408,0,0
logreg_Raw_C10.0,2409,0,0
logreg_Raw_C10.0,2410,1,0
logreg_Raw_C10.0,2411,1,0
logreg_Raw_C10.0,2412,1,0
logreg_Raw_C10.0,2413,1,0
logreg_Raw_C10.0,2414,1,0
logreg_Raw_C10.0,2415,1,0
logreg_Raw_C10.0,2416,1,1
logreg_Raw_C10.0,2417,1,0
logreg_Raw_C10.0,2418,1,0
logreg_Raw_C10.0,2419,1,0
logreg_Raw_C10.0,2420,1,0
logreg_Raw_C10.0,2421,1,1
logreg_Raw_C10.0,2422,1,1
logreg_Raw_C10.0,2423,1,9
logreg_Raw_C10.0,2424,1,1
logreg_Raw_C10.0,2425,1,0
logreg_Raw_C10.0,2426,1,0
logreg_Raw_C10.0,2427,1,0
logreg_Raw_C10.0,2428,1,0
logreg_Raw_C10.0,2429,1,0
logreg_Raw_C10.0,2430,1,0
logreg_Raw_C10.0,2431,1,0
logreg_Raw_C10.0,2432,1,0
logreg_Raw_C10.0,2433,1,0
logreg_Raw_C10.0,2434,1,0
logreg_Raw_C10.0,2435,1,0
logreg_Raw_C10.0,2436,1,0
logreg_Raw_C10.0,2437,0,0
logreg_Raw_C10.0,2438,0,0
logreg_Raw_C10.0,2439,0,0
logreg_Raw_C10.0,2440,0,0
logreg_Raw_C10.0,2441,0,0
logreg_Raw_C10.0,2442,0,0
logreg_Raw_C10.0,2443,0,0
logreg_Raw_C10.0,2444,0,0
logreg_Raw_C10.0,2445,0,1
logreg_Raw_C10.0,2446,0,0
logreg_Raw_C10.0,2447,0,0
logreg_Raw_C10.0,2448,0,0
logreg_Raw_C10.0,2449,0,0
logreg_Raw_C10.0,2450,0,1
logreg_Raw_C10.0,2451,0,1
logreg_Raw_C10.0,2452,0,1
logreg_Raw_C10.0,2453,0,1
logreg_Raw_C10.0,2454,0,1
logreg_Raw_C10.0,2455,0,1
logreg_Raw_C10.0,2456,0,1
logreg_Raw_C10.0,2457,0,1
logreg_Raw_C10.0,2458,0,1
logreg_Raw_C10.0,2459,0,0
logreg_Raw_C10.0,2460,0,1
logreg_Raw_C10.0,2461,0,4
logreg_Raw_C10.0,2462,0,0
logreg_Raw_C10.0,2463,0,0
logreg_Raw_C10.0,2464,0,0
logreg_Raw_C10.0,2465,0,0
logreg_Raw_C10.0,2466,0,0
logreg_Raw_C10.0,2467,0,0
logreg_Raw_C10.0,2468,0,0
logreg_Raw_C10.0,2469,0,1
logreg_Raw_C10.0,2470,0,1
logreg_Raw_C10.0,2471,0,1
logreg_Raw_C10.0,2472,0,1
logreg_Raw_C10.0,2473,0,1
logreg_Raw_C10.0,2474,0,0
logreg_Raw_C10.0,2475,0,0
logreg_Raw_C10.0,2476,0,0
logreg_Raw_C10.0,2477,0,0
logreg_Raw_C10.0,2478,0,0
logreg_Raw_C10.0,2479,0,0
logreg_Raw_C10.0,2480,0,0
logreg_Raw_C10.0,2481,0,0
logreg_Raw_C10.0,2482,0,0
logreg_Raw_C10.0,2483,0,0
logreg_Raw_C10.0,2484,0,0
logreg_Raw_C10.0,2485,0,0
logreg_Raw_C10.0,2486,0,0
logreg_Raw_C10.0,2487,0,0
logreg_Raw_C10.0,2488,0,0
logreg_Raw_C10.0,2489,0,0
logreg_Raw_C10.0,2490,0,0
logreg_Raw_C10.0,2491,0,0
logreg_Raw_C10.0,2492,0,0
logreg_Raw_C10.0,2493,0,0
logreg_Raw_C10.0,2494,0,0
logreg_Raw_C10.0,2495,0,0
logreg_Raw_C10.0,2496,0,0
logreg_Raw_C10.0,2497,0,0
logreg_Raw_C10.0,2498,0,0
logreg_Raw_C10.0,2499,0,0
logreg_Raw_C10.0,2500,0,0
logreg_Raw_C10.0,2501,1,0
logreg_Raw_C10.0,2502,1,0
logreg_Raw_C10.0,2503,1,0
