patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
325,logreg,Raw_C0.01,-0.4546,0.3704,0.1924,6.52
325,logreg,HMM_b0.4*_C0.01,-0.4546,0.3668,0.1721,10.75
325,logreg,HMM_b0.6_C0.01,-0.4546,0.3668,0.1721,11.66
325,logreg,HMM_b0.7_C0.01,-0.4546,0.3668,0.1722,12.18
325,logreg,HMM_b0.8_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg,HMM_b0.85_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg,HMM_b0.9_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg,HMM_b0.95_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg,HMM_b1.0_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg,HMM_b1.1_C0.01,-0.4546,0.3704,0.1735,12.74
325,logreg+features,Raw_C0.01,-0.4546,0.3759,0.1919,6.68
325,logreg+features,HMM_b0.4*_C0.01,-0.4546,0.3686,0.1726,10.75
325,logreg+features,HMM_b0.6_C0.01,-0.4546,0.3686,0.1727,11.66
325,logreg+features,HMM_b0.7_C0.01,-0.4546,0.3686,0.1728,12.18
325,logreg+features,HMM_b0.8_C0.01,-0.4546,0.3686,0.1728,12.18
325,logreg+features,HMM_b0.85_C0.01,-0.4546,0.3686,0.1728,12.18
325,logreg+features,HMM_b0.9_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg+features,HMM_b0.95_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg+features,HMM_b1.0_C0.01,-0.4546,0.3704,0.1734,12.18
325,logreg+features,HMM_b1.1_C0.01,-0.4546,0.3704,0.1733,13.37
325,ensemble,Raw_w0.2,-0.4546,0.3011,0.2011,4.81
325,ensemble,HMM_b0.4*_w0.2,-0.4546,0.2263,0.1656,16.61
325,ensemble,HMM_b0.6_w0.2,-0.4546,0.2263,0.1549,17.68
325,ensemble,HMM_b0.7_w0.2,-0.4546,0.2263,0.155,17.68
325,ensemble,HMM_b0.8_w0.2,-0.4546,0.2263,0.1548,17.68
325,ensemble,HMM_b0.85_w0.2,-0.4546,0.2263,0.1548,17.68
325,ensemble,HMM_b0.9_w0.2,-0.4546,0.2263,0.1548,17.68
325,ensemble,HMM_b0.95_w0.2,-0.4546,0.2263,0.1548,17.68
325,ensemble,HMM_b1.0_w0.2,-0.4546,0.2281,0.1555,17.68
325,ensemble,HMM_b1.1_w0.2,-0.4546,0.2281,0.1555,17.68
