pair,timestep,actual,prediction
logreg_Raw_C0.5,928,5,0
logreg_Raw_C0.5,929,5,3
logreg_Raw_C0.5,930,5,3
logreg_Raw_C0.5,931,5,1
logreg_Raw_C0.5,932,5,1
logreg_Raw_C0.5,933,5,1
logreg_Raw_C0.5,934,5,0
logreg_Raw_C0.5,935,5,0
logreg_Raw_C0.5,936,5,0
logreg_Raw_C0.5,937,5,0
logreg_Raw_C0.5,938,5,0
logreg_Raw_C0.5,939,5,0
logreg_Raw_C0.5,940,5,0
logreg_Raw_C0.5,941,5,0
logreg_Raw_C0.5,942,5,0
logreg_Raw_C0.5,943,5,0
logreg_Raw_C0.5,944,5,0
logreg_Raw_C0.5,945,5,0
logreg_Raw_C0.5,946,5,6
logreg_Raw_C0.5,947,5,6
logreg_Raw_C0.5,948,5,6
logreg_Raw_C0.5,949,5,8
logreg_Raw_C0.5,950,5,6
logreg_Raw_C0.5,951,5,0
logreg_Raw_C0.5,952,0,0
logreg_Raw_C0.5,953,0,0
logreg_Raw_C0.5,954,0,0
logreg_Raw_C0.5,955,0,8
logreg_Raw_C0.5,956,0,8
logreg_Raw_C0.5,957,0,8
logreg_Raw_C0.5,958,0,8
logreg_Raw_C0.5,959,0,0
logreg_Raw_C0.5,960,0,8
logreg_Raw_C0.5,961,0,8
logreg_Raw_C0.5,962,0,8
logreg_Raw_C0.5,963,0,8
logreg_Raw_C0.5,964,0,8
logreg_Raw_C0.5,965,0,0
logreg_Raw_C0.5,966,0,0
logreg_Raw_C0.5,967,0,0
logreg_Raw_C0.5,968,0,8
logreg_Raw_C0.5,969,0,8
logreg_Raw_C0.5,970,0,8
logreg_Raw_C0.5,971,0,8
logreg_Raw_C0.5,972,0,0
logreg_Raw_C0.5,973,0,0
logreg_Raw_C0.5,974,0,0
logreg_Raw_C0.5,975,0,0
logreg_Raw_C0.5,976,0,1
logreg_Raw_C0.5,977,0,1
logreg_Raw_C0.5,978,0,1
logreg_Raw_C0.5,979,0,1
logreg_Raw_C0.5,980,0,0
logreg_Raw_C0.5,981,0,0
logreg_Raw_C0.5,982,0,0
logreg_Raw_C0.5,983,0,0
logreg_Raw_C0.5,984,0,0
logreg_Raw_C0.5,985,0,0
logreg_Raw_C0.5,986,0,0
logreg_Raw_C0.5,987,6,1
logreg_Raw_C0.5,988,6,1
logreg_Raw_C0.5,989,6,1
logreg_Raw_C0.5,990,6,1
logreg_Raw_C0.5,991,6,1
logreg_Raw_C0.5,992,6,0
logreg_Raw_C0.5,993,6,0
logreg_Raw_C0.5,994,6,0
logreg_Raw_C0.5,995,6,0
logreg_Raw_C0.5,996,6,0
logreg_Raw_C0.5,997,6,1
logreg_Raw_C0.5,998,6,1
logreg_Raw_C0.5,999,6,1
logreg_Raw_C0.5,1000,6,1
logreg_Raw_C0.5,1001,6,0
logreg_Raw_C0.5,1002,6,0
logreg_Raw_C0.5,1003,6,0
logreg_Raw_C0.5,1004,6,0
logreg_Raw_C0.5,1005,6,0
logreg_Raw_C0.5,1006,6,1
logreg_Raw_C0.5,1007,6,0
logreg_Raw_C0.5,1008,6,6
logreg_Raw_C0.5,1009,6,6
logreg_Raw_C0.5,1010,6,6
logreg_Raw_C0.5,1011,0,6
logreg_Raw_C0.5,1012,0,6
logreg_Raw_C0.5,1013,0,7
logreg_Raw_C0.5,1014,0,7
logreg_Raw_C0.5,1015,0,7
logreg_Raw_C0.5,1016,0,0
logreg_Raw_C0.5,1017,0,0
logreg_Raw_C0.5,1018,0,3
logreg_Raw_C0.5,1019,7,3
logreg_Raw_C0.5,1020,7,0
logreg_Raw_C0.5,1021,7,0
logreg_Raw_C0.5,1022,7,0
logreg_Raw_C0.5,1023,7,0
logreg_Raw_C0.5,1024,7,0
logreg_Raw_C0.5,1025,7,8
logreg_Raw_C0.5,1026,7,8
logreg_Raw_C0.5,1027,7,7
logreg_Raw_C0.5,1028,7,3
logreg_Raw_C0.5,1029,7,6
logreg_Raw_C0.5,1030,7,6
logreg_Raw_C0.5,1031,7,6
logreg_Raw_C0.5,1032,7,6
logreg_Raw_C0.5,1033,7,8
logreg_Raw_C0.5,1034,7,0
logreg_Raw_C0.5,1035,7,0
logreg_Raw_C0.5,1036,7,8
logreg_Raw_C0.5,1037,7,8
logreg_Raw_C0.5,1038,7,8
logreg_Raw_C0.5,1039,7,8
logreg_Raw_C0.5,1040,7,8
logreg_Raw_C0.5,1041,0,8
logreg_Raw_C0.5,1042,0,8
logreg_Raw_C0.5,1043,0,0
logreg_Raw_C0.5,1044,0,4
logreg_Raw_C0.5,1045,1,4
logreg_Raw_C0.5,1046,1,3
logreg_Raw_C0.5,1047,1,6
logreg_Raw_C0.5,1048,1,6
logreg_Raw_C0.5,1049,1,6
logreg_Raw_C0.5,1050,1,6
logreg_Raw_C0.5,1051,1,3
logreg_Raw_C0.5,1052,1,6
logreg_Raw_C0.5,1053,1,4
logreg_Raw_C0.5,1054,1,0
logreg_Raw_C0.5,1055,1,0
logreg_Raw_C0.5,1056,1,0
logreg_Raw_C0.5,1057,1,6
logreg_Raw_C0.5,1058,1,6
logreg_Raw_C0.5,1059,1,6
logreg_Raw_C0.5,1060,1,6
logreg_Raw_C0.5,1061,1,6
logreg_Raw_C0.5,1062,1,6
logreg_Raw_C0.5,1063,1,7
logreg_Raw_C0.5,1064,1,7
logreg_Raw_C0.5,1065,1,0
logreg_Raw_C0.5,1066,1,4
logreg_Raw_C0.5,1067,1,6
logreg_Raw_C0.5,1068,1,6
logreg_Raw_C0.5,1069,1,8
logreg_Raw_C0.5,1070,1,0
logreg_Raw_C0.5,1071,0,8
logreg_Raw_C0.5,1072,0,8
logreg_Raw_C0.5,1073,0,8
logreg_Raw_C0.5,1074,0,8
logreg_Raw_C0.5,1075,0,8
logreg_Raw_C0.5,1076,0,8
logreg_Raw_C0.5,1077,0,6
logreg_Raw_C0.5,1078,0,6
logreg_Raw_C0.5,1079,0,6
logreg_Raw_C0.5,1080,0,6
logreg_Raw_C0.5,1081,0,7
logreg_Raw_C0.5,1082,0,3
logreg_Raw_C0.5,1083,0,0
logreg_Raw_C0.5,1084,0,0
logreg_Raw_C0.5,1085,0,0
logreg_Raw_C0.5,1086,0,0
logreg_Raw_C0.5,1087,0,0
logreg_Raw_C0.5,1088,0,0
logreg_Raw_C0.5,1089,0,0
logreg_Raw_C0.5,1090,0,0
logreg_Raw_C0.5,1091,0,0
logreg_Raw_C0.5,1092,0,0
logreg_Raw_C0.5,1093,0,0
logreg_Raw_C0.5,1094,0,8
logreg_Raw_C0.5,1095,0,6
logreg_Raw_C0.5,1096,0,6
logreg_Raw_C0.5,1097,0,6
logreg_Raw_C0.5,1098,0,6
logreg_Raw_C0.5,1099,0,6
logreg_Raw_C0.5,1100,0,1
logreg_Raw_C0.5,1101,0,1
logreg_Raw_C0.5,1102,0,1
logreg_Raw_C0.5,1103,0,1
logreg_Raw_C0.5,1104,0,1
logreg_Raw_C0.5,1105,5,1
logreg_Raw_C0.5,1106,5,1
logreg_Raw_C0.5,1107,5,1
logreg_Raw_C0.5,1108,5,1
logreg_Raw_C0.5,1109,5,1
logreg_Raw_C0.5,1110,5,8
logreg_Raw_C0.5,1111,5,8
logreg_Raw_C0.5,1112,5,8
logreg_Raw_C0.5,1113,5,8
logreg_Raw_C0.5,1114,5,8
logreg_Raw_C0.5,1115,5,8
logreg_Raw_C0.5,1116,5,8
logreg_Raw_C0.5,1117,5,8
logreg_Raw_C0.5,1118,5,8
logreg_Raw_C0.5,1119,5,8
logreg_Raw_C0.5,1120,5,8
logreg_Raw_C0.5,1121,5,8
logreg_Raw_C0.5,1122,5,8
logreg_Raw_C0.5,1123,5,0
logreg_Raw_C0.5,1124,5,0
logreg_Raw_C0.5,1125,5,0
logreg_Raw_C0.5,1126,5,6
logreg_Raw_C0.5,1127,5,6
logreg_Raw_C0.5,1128,5,6
logreg_Raw_C0.5,1129,5,0
logreg_Raw_C0.5,1130,0,0
logreg_Raw_C0.5,1131,0,0
logreg_Raw_C0.5,1132,0,8
logreg_Raw_C0.5,1133,0,8
logreg_Raw_C0.5,1134,6,8
logreg_Raw_C0.5,1135,6,8
logreg_Raw_C0.5,1136,6,0
logreg_Raw_C0.5,1137,6,0
logreg_Raw_C0.5,1138,6,1
logreg_Raw_C0.5,1139,6,3
logreg_Raw_C0.5,1140,6,3
logreg_Raw_C0.5,1141,6,3
logreg_Raw_C0.5,1142,6,6
logreg_Raw_C0.5,1143,6,6
logreg_Raw_C0.5,1144,6,6
logreg_Raw_C0.5,1145,6,8
logreg_Raw_C0.5,1146,6,8
logreg_Raw_C0.5,1147,6,8
logreg_Raw_C0.5,1148,6,8
logreg_Raw_C0.5,1149,6,8
logreg_Raw_C0.5,1150,6,8
logreg_Raw_C0.5,1151,6,0
logreg_Raw_C0.5,1152,6,8
logreg_Raw_C0.5,1153,6,0
logreg_Raw_C0.5,1154,6,1
logreg_Raw_C0.5,1155,6,1
logreg_Raw_C0.5,1156,6,1
logreg_Raw_C0.5,1157,6,8
logreg_Raw_C0.5,1158,6,6
logreg_Raw_C0.5,1159,6,1
logreg_HMM_b0.4*_C0.5,928,5,0
logreg_HMM_b0.4*_C0.5,929,5,0
logreg_HMM_b0.4*_C0.5,930,5,1
logreg_HMM_b0.4*_C0.5,931,5,1
logreg_HMM_b0.4*_C0.5,932,5,1
logreg_HMM_b0.4*_C0.5,933,5,1
logreg_HMM_b0.4*_C0.5,934,5,0
logreg_HMM_b0.4*_C0.5,935,5,0
logreg_HMM_b0.4*_C0.5,936,5,0
logreg_HMM_b0.4*_C0.5,937,5,0
logreg_HMM_b0.4*_C0.5,938,5,0
logreg_HMM_b0.4*_C0.5,939,5,0
logreg_HMM_b0.4*_C0.5,940,5,0
logreg_HMM_b0.4*_C0.5,941,5,0
logreg_HMM_b0.4*_C0.5,942,5,0
logreg_HMM_b0.4*_C0.5,943,5,0
logreg_HMM_b0.4*_C0.5,944,5,0
logreg_HMM_b0.4*_C0.5,945,5,0
logreg_HMM_b0.4*_C0.5,946,5,8
logreg_HMM_b0.4*_C0.5,947,5,8
logreg_HMM_b0.4*_C0.5,948,5,8
logreg_HMM_b0.4*_C0.5,949,5,8
logreg_HMM_b0.4*_C0.5,950,5,8
logreg_HMM_b0.4*_C0.5,951,5,8
logreg_HMM_b0.4*_C0.5,952,0,8
logreg_HMM_b0.4*_C0.5,953,0,8
