patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
301,knn,Raw,-1.7998,0.2431,0.1405,2.87
301,knn,EMA_a0.3,-1.7998,0.2477,0.1376,5.01
301,knn,EMA_a0.5,-1.7998,0.2546,0.1473,3.86
301,knn,EMA_a0.7,-1.7998,0.2500,0.1463,3.25
301,knn,HMM_b0.2,-1.7998,0.2844,0.1670,5.13
301,knn,HMM_b0.5,-1.7998,0.2706,0.1472,5.52
301,knn,HMM_b0.8,-1.7998,0.2729,0.1487,5.66
301,logreg,Raw_C1.0,-1.7998,0.2041,0.1114,2.95
301,logreg,EMA_a0.3_C1.0,-1.7998,0.2294,0.1382,4.64
301,logreg,EMA_a0.5_C1.0,-1.7998,0.2156,0.1190,3.73
301,logreg,EMA_a0.7_C1.0,-1.7998,0.2225,0.1191,3.33
301,logreg,HMM_b0.2_C1.0,-1.7998,0.2615,0.1362,7.52
301,logreg,HMM_b0.5_C1.0,-1.7998,0.2821,0.1451,8.07
301,logreg,HMM_b0.8_C1.0,-1.7998,0.2890,0.1493,9.08
