patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
304,logreg,Raw_C10.0,-0.7672,0.239,0.2052,2.73
304,logreg,HMM_b0.4*_C10.0,-0.7672,0.239,0.2024,5.26
304,logreg,HMM_b0.6_C10.0,-0.7672,0.239,0.2033,5.63
304,logreg,HMM_b0.7_C10.0,-0.7672,0.2421,0.2046,5.63
304,logreg,HMM_b0.8_C10.0,-0.7672,0.2406,0.1943,6.24
304,logreg,HMM_b0.85_C10.0,-0.7672,0.2406,0.1943,6.24
304,logreg,HMM_b0.9_C10.0,-0.7672,0.2406,0.1937,6.36
304,logreg,HMM_b0.95_C10.0,-0.7672,0.2406,0.1937,6.36
304,logreg,HMM_b1.0_C10.0,-0.7672,0.2406,0.1935,6.77
304,logreg,HMM_b1.1_C10.0,-0.7672,0.2579,0.2022,7.57
304,logreg+features,Raw_C10.0,-0.7672,0.2374,0.207,2.78
304,logreg+features,HMM_b0.4*_C10.0,-0.7672,0.2516,0.2184,5.34
304,logreg+features,HMM_b0.6_C10.0,-0.7672,0.2516,0.2185,5.53
304,logreg+features,HMM_b0.7_C10.0,-0.7672,0.2516,0.2188,5.63
304,logreg+features,HMM_b0.8_C10.0,-0.7672,0.2516,0.2144,6.42
304,logreg+features,HMM_b0.85_C10.0,-0.7672,0.2516,0.2144,6.42
304,logreg+features,HMM_b0.9_C10.0,-0.7672,0.2516,0.2138,6.69
304,logreg+features,HMM_b0.95_C10.0,-0.7672,0.2516,0.2137,6.84
304,logreg+features,HMM_b1.0_C10.0,-0.7672,0.2657,0.221,7.48
304,logreg+features,HMM_b1.1_C10.0,-0.7672,0.2814,0.2294,8.05
304,ensemble,Raw_w0.4,-0.7672,0.2406,0.2091,2.81
304,ensemble,HMM_b0.4*_w0.4,-0.7672,0.2563,0.1933,8.71
304,ensemble,HMM_b0.6_w0.4,-0.7672,0.2579,0.1936,9.49
304,ensemble,HMM_b0.7_w0.4,-0.7672,0.2579,0.1933,9.78
304,ensemble,HMM_b0.8_w0.4,-0.7672,0.2563,0.1922,9.78
304,ensemble,HMM_b0.85_w0.4,-0.7672,0.2893,0.2066,10.78
304,ensemble,HMM_b0.9_w0.4,-0.7672,0.2893,0.2066,10.78
304,ensemble,HMM_b0.95_w0.4,-0.7672,0.2987,0.2111,12.0
304,ensemble,HMM_b1.0_w0.4,-0.7672,0.2925,0.1926,12.47
304,ensemble,HMM_b1.1_w0.4,-0.7672,0.2925,0.1861,13.25
