pair,timestep,actual,prediction
logreg_Raw_C0.5,2262,0,0
logreg_Raw_C0.5,2263,0,0
logreg_Raw_C0.5,2264,0,0
logreg_Raw_C0.5,2265,0,0
logreg_Raw_C0.5,2266,0,0
logreg_Raw_C0.5,2267,0,0
logreg_Raw_C0.5,2268,0,0
logreg_Raw_C0.5,2269,0,0
logreg_Raw_C0.5,2270,0,0
logreg_Raw_C0.5,2271,0,0
logreg_Raw_C0.5,2272,0,0
logreg_Raw_C0.5,2273,0,0
logreg_Raw_C0.5,2274,0,0
logreg_Raw_C0.5,2275,0,1
logreg_Raw_C0.5,2276,0,1
logreg_Raw_C0.5,2277,0,6
logreg_Raw_C0.5,2278,0,6
logreg_Raw_C0.5,2279,0,6
logreg_Raw_C0.5,2280,0,6
logreg_Raw_C0.5,2281,0,6
logreg_Raw_C0.5,2282,0,6
logreg_Raw_C0.5,2283,0,6
logreg_Raw_C0.5,2284,0,6
logreg_Raw_C0.5,2285,0,7
logreg_Raw_C0.5,2286,0,7
logreg_Raw_C0.5,2287,0,0
logreg_Raw_C0.5,2288,6,0
logreg_Raw_C0.5,2289,6,1
logreg_Raw_C0.5,2290,6,0
logreg_Raw_C0.5,2291,6,1
logreg_Raw_C0.5,2292,6,1
logreg_Raw_C0.5,2293,6,7
logreg_Raw_C0.5,2294,6,7
logreg_Raw_C0.5,2295,6,0
logreg_Raw_C0.5,2296,6,0
logreg_Raw_C0.5,2297,6,0
logreg_Raw_C0.5,2298,6,0
logreg_Raw_C0.5,2299,6,6
logreg_Raw_C0.5,2300,6,6
logreg_Raw_C0.5,2301,6,6
logreg_Raw_C0.5,2302,6,6
logreg_Raw_C0.5,2303,6,6
logreg_Raw_C0.5,2304,6,6
logreg_Raw_C0.5,2305,6,6
logreg_Raw_C0.5,2306,6,6
logreg_Raw_C0.5,2307,0,6
logreg_Raw_C0.5,2308,0,6
logreg_Raw_C0.5,2309,0,6
logreg_Raw_C0.5,2310,0,6
logreg_Raw_C0.5,2311,0,6
logreg_Raw_C0.5,2312,0,1
logreg_Raw_C0.5,2313,9,1
logreg_Raw_C0.5,2314,9,6
logreg_Raw_C0.5,2315,9,6
logreg_Raw_C0.5,2316,9,6
logreg_Raw_C0.5,2317,9,6
logreg_Raw_C0.5,2318,9,0
logreg_Raw_C0.5,2319,9,0
logreg_Raw_C0.5,2320,9,0
logreg_Raw_C0.5,2321,9,0
logreg_Raw_C0.5,2322,9,0
logreg_Raw_C0.5,2323,9,0
logreg_Raw_C0.5,2324,9,0
logreg_Raw_C0.5,2325,9,0
logreg_Raw_C0.5,2326,9,0
logreg_Raw_C0.5,2327,9,0
logreg_Raw_C0.5,2328,9,0
logreg_Raw_C0.5,2329,9,0
logreg_Raw_C0.5,2330,9,0
logreg_Raw_C0.5,2331,9,0
logreg_Raw_C0.5,2332,9,1
logreg_Raw_C0.5,2333,9,1
logreg_Raw_C0.5,2334,9,1
logreg_Raw_C0.5,2335,9,0
logreg_Raw_C0.5,2336,9,0
logreg_Raw_C0.5,2337,9,0
logreg_Raw_C0.5,2338,9,0
logreg_Raw_C0.5,2339,9,0
logreg_Raw_C0.5,2340,0,0
logreg_Raw_C0.5,2341,0,0
logreg_Raw_C0.5,2342,0,0
logreg_Raw_C0.5,2343,0,0
logreg_Raw_C0.5,2344,0,0
logreg_Raw_C0.5,2345,0,0
logreg_Raw_C0.5,2346,1,0
logreg_Raw_C0.5,2347,1,0
logreg_Raw_C0.5,2348,1,0
logreg_Raw_C0.5,2349,1,0
logreg_Raw_C0.5,2350,1,0
logreg_Raw_C0.5,2351,1,6
logreg_Raw_C0.5,2352,1,6
logreg_Raw_C0.5,2353,1,0
logreg_Raw_C0.5,2354,1,0
logreg_Raw_C0.5,2355,1,7
logreg_Raw_C0.5,2356,1,7
logreg_Raw_C0.5,2357,1,0
logreg_Raw_C0.5,2358,1,0
logreg_Raw_C0.5,2359,1,0
logreg_Raw_C0.5,2360,1,0
logreg_Raw_C0.5,2361,1,0
logreg_Raw_C0.5,2362,1,0
logreg_Raw_C0.5,2363,1,0
logreg_Raw_C0.5,2364,1,0
logreg_Raw_C0.5,2365,1,0
logreg_Raw_C0.5,2366,1,0
logreg_Raw_C0.5,2367,1,6
logreg_Raw_C0.5,2368,1,6
logreg_Raw_C0.5,2369,1,0
logreg_Raw_C0.5,2370,0,6
logreg_Raw_C0.5,2371,0,0
logreg_Raw_C0.5,2372,0,6
logreg_Raw_C0.5,2373,0,0
logreg_Raw_C0.5,2374,0,0
logreg_Raw_C0.5,2375,9,0
logreg_Raw_C0.5,2376,9,0
logreg_Raw_C0.5,2377,9,0
logreg_Raw_C0.5,2378,9,0
logreg_Raw_C0.5,2379,9,0
logreg_Raw_C0.5,2380,9,0
logreg_Raw_C0.5,2381,9,0
logreg_Raw_C0.5,2382,9,0
logreg_Raw_C0.5,2383,9,0
logreg_Raw_C0.5,2384,9,0
logreg_Raw_C0.5,2385,9,7
logreg_Raw_C0.5,2386,9,7
logreg_Raw_C0.5,2387,9,7
logreg_Raw_C0.5,2388,9,0
logreg_Raw_C0.5,2389,9,0
logreg_Raw_C0.5,2390,9,0
logreg_Raw_C0.5,2391,9,0
logreg_Raw_C0.5,2392,9,0
logreg_Raw_C0.5,2393,9,0
logreg_Raw_C0.5,2394,9,0
logreg_Raw_C0.5,2395,9,0
logreg_Raw_C0.5,2396,9,0
logreg_Raw_C0.5,2397,9,0
