patient,decoder,variant,R2_behavior,accuracy,macroF1,mean_dwell_pred
PR06,logreg,Raw_C0.5,-3.3142,0.205,0.0548,5.83
PR06,logreg,HMM_b0.4*_C0.5,-3.3142,0.1674,0.0459,7.47
PR06,logreg,HMM_b0.6_C0.5,-3.3142,0.1883,0.0568,8.85
PR06,logreg,HMM_b0.7_C0.5,-3.3142,0.1883,0.0566,8.85
PR06,logreg,HMM_b0.8_C0.5,-3.3142,0.1883,0.0566,8.85
PR06,logreg,HMM_b0.85_C0.5,-3.3142,0.2008,0.0694,9.56
PR06,logreg,HMM_b0.9_C0.5,-3.3142,0.2008,0.0694,9.56
PR06,logreg,HMM_b0.95_C0.5,-3.3142,0.2008,0.0694,9.56
PR06,logreg,HMM_b1.0_C0.5,-3.3142,0.2008,0.069,9.56
PR06,logreg,HMM_b1.1_C0.5,-3.3142,0.2008,0.069,9.56
PR06,logreg+features,Raw_C0.5,-3.3142,0.2008,0.0511,5.43
PR06,logreg+features,HMM_b0.4*_C0.5,-3.3142,0.1674,0.046,7.47
PR06,logreg+features,HMM_b0.6_C0.5,-3.3142,0.1883,0.0574,8.24
PR06,logreg+features,HMM_b0.7_C0.5,-3.3142,0.1883,0.0565,8.85
PR06,logreg+features,HMM_b0.8_C0.5,-3.3142,0.1883,0.0565,8.85
PR06,logreg+features,HMM_b0.85_C0.5,-3.3142,0.2008,0.0693,9.56
PR06,logreg+features,HMM_b0.9_C0.5,-3.3142,0.2008,0.0693,9.56
PR06,logreg+features,HMM_b0.95_C0.5,-3.3142,0.2008,0.0693,9.56
PR06,logreg+features,HMM_b1.0_C0.5,-3.3142,0.2008,0.0691,9.56
PR06,logreg+features,HMM_b1.1_C0.5,-3.3142,0.2008,0.0691,9.56
PR06,ensemble,Raw_w0.7,-3.3142,0.205,0.0515,5.98
PR06,ensemble,HMM_b0.4*_w0.7,-3.3142,0.1757,0.0539,8.85
PR06,ensemble,HMM_b0.6_w0.7,-3.3142,0.1841,0.0559,8.85
PR06,ensemble,HMM_b0.7_w0.7,-3.3142,0.1967,0.0685,9.56
PR06,ensemble,HMM_b0.8_w0.7,-3.3142,0.1967,0.0685,9.56
PR06,ensemble,HMM_b0.85_w0.7,-3.3142,0.1967,0.0685,9.56
PR06,ensemble,HMM_b0.9_w0.7,-3.3142,0.1967,0.0683,9.56
PR06,ensemble,HMM_b0.95_w0.7,-3.3142,0.1967,0.0683,9.56
PR06,ensemble,HMM_b1.0_w0.7,-3.3142,0.1967,0.0683,9.56
PR06,ensemble,HMM_b1.1_w0.7,-3.3142,0.1967,0.0681,9.56
