pair,timestep,actual,prediction
logreg_Raw_C1.0,956,5,0
logreg_Raw_C1.0,957,5,0
logreg_Raw_C1.0,958,5,0
logreg_Raw_C1.0,959,5,0
logreg_Raw_C1.0,960,5,0
logreg_Raw_C1.0,961,5,0
logreg_Raw_C1.0,962,5,0
logreg_Raw_C1.0,963,5,0
logreg_Raw_C1.0,964,5,0
logreg_Raw_C1.0,965,5,1
logreg_Raw_C1.0,966,5,1
logreg_Raw_C1.0,967,5,1
logreg_Raw_C1.0,968,5,1
logreg_Raw_C1.0,969,5,1
logreg_Raw_C1.0,970,5,1
logreg_Raw_C1.0,971,5,1
logreg_Raw_C1.0,972,5,0
logreg_Raw_C1.0,973,5,0
logreg_Raw_C1.0,974,5,0
logreg_Raw_C1.0,975,5,0
logreg_Raw_C1.0,976,5,0
logreg_Raw_C1.0,977,5,0
logreg_Raw_C1.0,978,5,0
logreg_Raw_C1.0,979,5,0
logreg_Raw_C1.0,980,0,0
logreg_Raw_C1.0,981,0,0
logreg_Raw_C1.0,982,0,0
logreg_Raw_C1.0,983,0,0
logreg_Raw_C1.0,984,0,0
logreg_Raw_C1.0,985,0,0
logreg_Raw_C1.0,986,0,0
logreg_Raw_C1.0,987,0,0
logreg_Raw_C1.0,988,0,0
logreg_Raw_C1.0,989,0,0
logreg_Raw_C1.0,990,0,0
logreg_Raw_C1.0,991,0,0
logreg_Raw_C1.0,992,0,0
logreg_Raw_C1.0,993,0,0
logreg_Raw_C1.0,994,0,0
logreg_Raw_C1.0,995,0,0
logreg_Raw_C1.0,996,0,0
logreg_Raw_C1.0,997,0,1
logreg_Raw_C1.0,998,0,8
logreg_Raw_C1.0,999,0,8
logreg_Raw_C1.0,1000,0,8
logreg_Raw_C1.0,1001,0,8
logreg_Raw_C1.0,1002,0,8
logreg_Raw_C1.0,1003,0,8
logreg_Raw_C1.0,1004,0,8
logreg_Raw_C1.0,1005,0,8
logreg_Raw_C1.0,1006,0,0
logreg_Raw_C1.0,1007,0,0
logreg_Raw_C1.0,1008,0,0
logreg_Raw_C1.0,1009,0,0
logreg_Raw_C1.0,1010,0,0
logreg_Raw_C1.0,1011,0,1
logreg_Raw_C1.0,1012,0,1
logreg_Raw_C1.0,1013,0,1
logreg_Raw_C1.0,1014,0,1
logreg_Raw_C1.0,1015,0,1
logreg_Raw_C1.0,1016,0,1
logreg_Raw_C1.0,1017,6,1
logreg_Raw_C1.0,1018,6,0
logreg_Raw_C1.0,1019,6,0
logreg_Raw_C1.0,1020,6,0
logreg_Raw_C1.0,1021,6,0
logreg_Raw_C1.0,1022,6,0
logreg_Raw_C1.0,1023,6,0
logreg_Raw_C1.0,1024,6,0
logreg_Raw_C1.0,1025,6,0
logreg_Raw_C1.0,1026,6,0
logreg_Raw_C1.0,1027,6,0
logreg_Raw_C1.0,1028,6,0
logreg_Raw_C1.0,1029,6,2
logreg_Raw_C1.0,1030,6,1
